question,golden_answer,context,our_answer_wo_context,our_answer_w_context
What company gave the most?,CCTV,"On the evening of May 18, CCTV-1 hosted a special four-hour program called The Giving of Love (simplified Chinese: 爱的奉献; traditional Chinese: 愛的奉獻), hosted by regulars from the CCTV New Year's Gala and round-the-clock coverage anchor Bai Yansong. It was attended by a wide range of entertainment, literary, business and political figures from mainland China, Hong Kong, Singapore and Taiwan. Donations of the evening totalled 1.5 billion Chinese Yuan (~US$208 million). Of the donations, CCTV gave the biggest corporate contribution at ¥50 million. Almost at the same time in Taiwan, a similarly themed programme was on air hosted by the sitting president Ma Ying-jeou. In June, Hong Kong actor Jackie Chan, who donated $1.57 million to the victims, made a music video alongside other artists entitled ""Promise""; the song was composed by Andy Lau. The Artistes 512 Fund Raising Campaign, an 8-hour fundraising marathon, was held on June 1 in Hong Kong; it was attended by some 200 Sinosphere musicians and celebrities. In Singapore, MediaCorp Channel 8 hosted a 'live' programme 让爱川流不息 to raise funds for the victims.",I don't have enough information.,CCTV gave the biggest corporate contribution.
When did academic schooling begin in the Roman Republic?,around 200 BC,"Following various military conquests in the Greek East, Romans adapted a number of Greek educational precepts to their own fledgling system. They began physical training to prepare the boys to grow as Roman citizens and for eventual recruitment into the army. Conforming to discipline was a point of great emphasis. Girls generally received instruction from their mothers in the art of spinning, weaving, and sewing. Schooling in a more formal sense was begun around 200 BC. Education began at the age of around six, and in the next six to seven years, boys and girls were expected to learn the basics of reading, writing and counting. By the age of twelve, they would be learning Latin, Greek, grammar and literature, followed by training for public speaking. Oratory was an art to be practiced and learnt, and good orators commanded respect.[citation needed]",Roman Republic: 509-27 BC,Around 200 BC.
What other types of petrels breed on Phillip Island?,"the white-necked petrel, Kermadec petrel","The Norfolk Island Group Nepean Island is also home to breeding seabirds. The providence petrel was hunted to local extinction by the beginning of the 19th century, but has shown signs of returning to breed on Phillip Island. Other seabirds breeding there include the white-necked petrel, Kermadec petrel, wedge-tailed shearwater, Australasian gannet, red-tailed tropicbird and grey ternlet. The sooty tern (known locally as the whale bird) has traditionally been subject to seasonal egg harvesting by Norfolk Islanders.",Little Penguin,"White-necked petrel, Kermadec petrel."
Who ended the English Masonic disclosure policy in 2009?,Justice Secretary Jack Straw,"Even in modern democracies, Freemasonry is sometimes viewed with distrust. In the UK, Masons working in the justice system, such as judges and police officers, were from 1999 to 2009 required to disclose their membership. While a parliamentary inquiry found that there has been no evidence of wrongdoing, it was felt that any potential loyalties Masons might have, based on their vows to support fellow Masons, should be transparent to the public. The policy of requiring a declaration of masonic membership of applicants for judicial office (judges and magistrates) was ended in 2009 by Justice Secretary Jack Straw (who had initiated the requirement in the 1990s). Straw stated that the rule was considered disproportionate, since no impropriety or malpractice had been shown as a result of judges being Freemasons.",Prince Charles,Justice Secretary Jack Straw.
What is the most popular type of poulty that is farmed?,"Worldwide, more chickens are kept than any other type of poultry","Worldwide, more chickens are kept than any other type of poultry, with over 50 billion birds being raised each year as a source of meat and eggs. Traditionally, such birds would have been kept extensively in small flocks, foraging during the day and housed at night. This is still the case in developing countries, where the women often make important contributions to family livelihoods through keeping poultry. However, rising world populations and urbanization have led to the bulk of production being in larger, more intensive specialist units. These are often situated close to where the feed is grown or near to where the meat is needed, and result in cheap, safe food being made available for urban communities. Profitability of production depends very much on the price of feed, which has been rising. High feed costs could limit further development of poultry production.",Chicken.,Chickens.
What is one thing the cell must do once DNA replication is compete?,physically separate the two copies of the genome,"After DNA replication is complete, the cell must physically separate the two copies of the genome and divide into two distinct membrane-bound cells.:18.2 In prokaryotes (bacteria and archaea) this usually occurs via a relatively simple process called binary fission, in which each circular genome attaches to the cell membrane and is separated into the daughter cells as the membrane invaginates to split the cytoplasm into two membrane-bound portions. Binary fission is extremely fast compared to the rates of cell division in eukaryotes. Eukaryotic cell division is a more complex process known as the cell cycle; DNA replication occurs during a phase of this cycle known as S phase, whereas the process of segregating chromosomes and splitting the cytoplasm occurs during M phase.:18.1",Repair DNA damage.,Physically separate the genome.
How do you avoid injuries?,proper technique must be used by the gymnast,"In a tumbling pass, dismount or vault, landing is the final phase, following take off and flight  This is a critical skill in terms of execution in competition scores, general performance, and injury occurrence. Without the necessary magnitude of energy dissipation during impact, the risk of sustaining injuries during somersaulting increases. These injuries commonly occur at the lower extremities such as: cartilage lesions, ligament tears, and bone bruises/fractures. To avoid such injuries, and to receive a high performance score, proper technique must be used by the gymnast. ""The subsequent ground contact or impact landing phase must be achieved using a safe, aesthetic and well-executed double foot landing.""  A successful landing in gymnastics is classified as soft, meaning the knee and hip joints are at greater than 63 degrees of flexion.",Wear protective gear.,Proper technique and a double foot landing.
The current heat flow on Neptune might be explained by what?,heat left over from Neptune's formation,"Neptune's more varied weather when compared to Uranus is due in part to its higher internal heating. Although Neptune lies over 50% further from the Sun than Uranus, and receives only 40% its amount of sunlight, the two planets' surface temperatures are roughly equal. The upper regions of Neptune's troposphere reach a low temperature of 51.8 K (−221.3 °C). At a depth where the atmospheric pressure equals 1 bar (100 kPa), the temperature is 72.00 K (−201.15 °C). Deeper inside the layers of gas, the temperature rises steadily. As with Uranus, the source of this heating is unknown, but the discrepancy is larger: Uranus only radiates 1.1 times as much energy as it receives from the Sun; whereas Neptune radiates about 2.61 times as much energy as it receives from the Sun. Neptune is the farthest planet from the Sun, yet its internal energy is sufficient to drive the fastest planetary winds seen in the Solar System. Depending on the thermal properties of its interior, the heat left over from Neptune's formation may be sufficient to explain its current heat flow, though it is more difficult to simultaneously explain Uranus's lack of internal heat while preserving the apparent similarity between the two planets.",Radioactive decay.,The heat left over from Neptune's formation.
How many bulbs does the average ribbon machine produce per hour?,"50,000","In manufacturing the glass bulb, a type of ""ribbon machine"" is used. A continuous ribbon of glass is passed along a conveyor belt, heated in a furnace, and then blown by precisely aligned air nozzles through holes in the conveyor belt into molds. Thus the glass bulbs are created. After the bulbs are blown, and cooled, they are cut off the ribbon machine; a typical machine of this sort produces 50,000 bulbs per hour. The filament and its supports are assembled on a glass stem, which is fused to the bulb. The air is pumped out of the bulb, and the evacuation tube in the stem press is sealed by a flame. The bulb is then inserted into the lamp base, and the whole assembly tested.","I couldn't find any information on ""ribbon machine"" producing bulbs.","50,000"
Who decides if Muslims attend secular schools or traditional madaris?,students,"In Southeast Asia, Muslim students have a choice of attending a secular government or an Islamic school. Madaris or Islamic schools are known as Sekolah Agama (Malay: religious school) in Malaysia and Indonesia, โรงเรียนศาสนาอิสลาม (Thai: school of Islam) in Thailand and madaris in the Philippines. In countries where Islam is not the majority or state religion, Islamic schools are found in regions such as southern Thailand (near the Thai-Malaysian border) and the southern Philippines in Mindanao, where a significant Muslim population can be found.",Parents decide.,Parents or the government.
What did the right to create ordynacja's entail?,ensured that a family which gained wealth and power could more easily preserve this,"One of the most important victories of the magnates was the late 16th century right to create ordynacja's (similar to majorats), which ensured that a family which gained wealth and power could more easily preserve this. Ordynacje's of families of Radziwiłł, Zamoyski, Potocki or Lubomirski often rivalled the estates of the king and were important power bases for the magnates.",The right to create ordynacja's entailed the right to create and govern local laws.,Right to preserve wealth and power.
What term was coined to describe the destruction of culture?,ritualcide,"The word genocide was later included as a descriptive term to the process of indictment, but not yet as a formal legal term According to Lemming, genocide was defined as ""a coordinated strategy to destroy a group of people, a process that could be accomplished through total annihilation as well as strategies that eliminate key elements of the group's basic existence, including language, culture, and economic infrastructure.” He created a concept of mobilizing much of the international relations and community, to working together and preventing the occurrence of such events happening within history and the international society. Australian anthropologist Peg LeVine coined the term ""ritualcide"" to describe the destruction of a group's cultural identity without necessarily destroying its members.",Cultural Genocide,Ritualcide.
What were white Democratic paramilitary groups in Charleston known as?,the Red Shirts,"Violent incidents occurred throughout the Piedmont of the state as white insurgents struggled to maintain white supremacy in the face of social changes after the war and granting of citizenship to freedmen by federal constitutional amendments. After former Confederates were allowed to vote again, election campaigns from 1872 on were marked by violent intimidation of blacks and Republicans by white Democratic paramilitary groups, known as the Red Shirts. Violent incidents took place in Charleston on King Street in September 6 and in nearby Cainhoy on October 15, both in association with political meetings before the 1876 election. The Cainhoy incident was the only one statewide in which more whites were killed than blacks. The Red Shirts were instrumental in suppressing the black Republican vote in some areas in 1876 and narrowly electing Wade Hampton as governor, and taking back control of the state legislature. Another riot occurred in Charleston the day after the election, when a prominent Republican leader was mistakenly reported killed.",White Citizens' Councils.,The Red Shirts.
What book was written by Annick Cojean?,Gaddafi's Harem,"In the 1970s and 1980s there were reports of his making sexual advances toward female reporters and members of his entourage. After the civil war, more serious charges came to light. Annick Cojean, a journalist for Le Monde, wrote in her book, Gaddafi's Harem that Gaddafi had raped, tortured, performed urolagnia, and imprisoned hundreds or thousands of women, usually very young. Another source—Libyan psychologist Seham Sergewa—reported that several of his female bodyguards claim to have been raped by Gaddafi and senior officials. After the civil war, Luis Moreno Ocampo, prosecutor for the International Criminal Court, said there was evidence that Gaddafi told soldiers to rape women who had spoken out against his regime. In 2011 Amnesty International questioned this and other claims used to justify NATO's war in Libya.",I couldn't find any information on an author named Annick Cojean.,Gaddafi's Harem
"""We choose to go to the Moon"" speech was given at what location in Texas?",Rice University Stadium,"He justified the program in terms of its importance to national security, and its focus of the nation's energies on other scientific and social fields. He rallied popular support for the program in his ""We choose to go to the Moon"" speech, on September 12, 1962, before a large crowd at Rice University Stadium, in Houston, Texas, near the construction site of the new Manned Spacecraft Center facility. Full text ","Houston, Texas","Rice University Stadium, Houston."
What is an important number when it comes to guns engaging an aircraft?,The maximum distance,"The maximum distance at which a gun or missile can engage an aircraft is an important figure. However, many different definitions are used but unless the same definition is used, performance of different guns or missiles cannot be compared. For AA guns only the ascending part of the trajectory can be usefully used. One term is 'ceiling', maximum ceiling being the height a projectile would reach if fired vertically, not practically useful in itself as few AA guns are able to fire vertically, and maximum fuse duration may be too short, but potentially useful as a standard to compare different weapons.",.50 Caliber,Maximum range or ceiling.
Which era was credited to have influenced Beyonce's singing style by Jody Rosen?,hip hop,"Beyoncé's vocal range spans four octaves. Jody Rosen highlights her tone and timbre as particularly distinctive, describing her voice as ""one of the most compelling instruments in popular music"". While another critic says she is a ""Vocal acrobat, being able to sing long and complex melismas and vocal runs effortlessly, and in key. Her vocal abilities mean she is identified as the centerpiece of Destiny's Child. The Daily Mail calls Beyoncé's voice ""versatile"", capable of exploring power ballads, soul, rock belting, operatic flourishes, and hip hop. Jon Pareles of The New York Times commented that her voice is ""velvety yet tart, with an insistent flutter and reserves of soul belting"". Rosen notes that the hip hop era highly influenced Beyoncé's strange rhythmic vocal style, but also finds her quite traditionalist in her use of balladry, gospel and falsetto. Other critics praise her range and power, with Chris Richards of The Washington Post saying she was ""capable of punctuating any beat with goose-bump-inducing whispers or full-bore diva-roars.""",1950s R&B,Hip hop era.
When are firewords heard every day?,during the Les Falles,"The largest plaza in Valencia is the Plaza del Ayuntamiento; it is home to the City Hall (Ayuntamiento) on its western side and the central post office (Edificio de Correos) on its eastern side, a cinema that shows classic movies, and many restaurants and bars. The plaza is triangular in shape, with a large cement lot at the southern end, normally surrounded by flower vendors. It serves as ground zero during the Les Falles when the fireworks of the Mascletà can be heard every afternoon. There is a large fountain at the northern end.",Fireworks are heard on 4th of July.,Every afternoon.
Which language tree groups Dutch with English?,Indo-European,"Within the Indo-European language tree, Dutch is grouped within the Germanic languages, which means it shares a common ancestor with languages such as English, German, and Scandinavian languages. All Germanic languages are united by subjection to the sound shifts of Grimm's law and Verner's law which originated in the Proto-Germanic language and define the basic differentiating features from other Indo-European languages. This assumed to have originated in approximately the mid-first millennium BCE in Iron Age northern Europe.",West Germanic,Indo-European language tree.
What kind of routines do general gymnastic groups perform?,"synchronized, choreographed routines","General gymnastics enables people of all ages and abilities to participate in performance groups of 6 to more than 150 athletes. They perform synchronized, choreographed routines. Troupes may consist of both genders and are not separated into age divisions. The largest general gymnastics exhibition is the quadrennial World Gymnaestrada which was first held in 1939. In 1984 Gymnastics for All was officially recognized first as a Sport Program by the FIG (International Gymnastic Federation), and subsequently by national gymnastic federations worldwide with participants that now number 30 million.","Here are some general gymnastics routines:

1. Floor Exercise: tumbling passes, acrobatic skills,","Synchronized, choreographed routines."
When did she set the record for most Grammy awards won in one night?,2010,"Beyoncé has won 20 Grammy Awards, both as a solo artist and member of Destiny's Child, making her the second most honored female artist by the Grammys, behind Alison Krauss and the most nominated woman in Grammy Award history with 52 nominations. ""Single Ladies (Put a Ring on It)"" won Song of the Year in 2010 while ""Say My Name"" and ""Crazy in Love"" had previously won Best R&B Song. Dangerously in Love, B'Day and I Am... Sasha Fierce have all won Best Contemporary R&B Album. Beyoncé set the record for the most Grammy awards won by a female artist in one night in 2010 when she won six awards, breaking the tie she previously held with Alicia Keys, Norah Jones, Alison Krauss, and Amy Winehouse, with Adele equaling this in 2012. Following her role in Dreamgirls she was nominated for Best Original Song for ""Listen"" and Best Actress at the Golden Globe Awards, and Outstanding Actress in a Motion Picture at the NAACP Image Awards. Beyoncé won two awards at the Broadcast Film Critics Association Awards 2006; Best Song for ""Listen"" and Best Original Soundtrack for Dreamgirls: Music from the Motion Picture.","Beyoncé, 2018",2010.
What percent of the Bronx has mixed Caucasian and African American heritage?,0.5%,"Multiracial Americans are also a sizable minority in the Bronx. People of multiracial heritage number over 41,800 individuals and represent 3.0% of the population. People of mixed Caucasian and African American heritage number over 6,850 members and form 0.5% of the population. People of mixed Caucasian and Native American heritage number over 2,450 members and form 0.2% of the population. People of mixed Caucasian and Asian heritage number over 880 members and form 0.1% of the population. People of mixed African American and Native American heritage number over 1,220 members and form 0.1% of the population.",I cannot verify the percentage of the Bronx with mixed Caucasian and African American heritage.,0.5%
In the Unites States what sets out the boundaries of federal law?,The Constitution,"The law of the United States comprises many levels of codified and uncodified forms of law, of which the most important is the United States Constitution, the foundation of the federal government of the United States. The Constitution sets out the boundaries of federal law, which consists of acts of Congress, treaties ratified by the Senate, regulations promulgated by the executive branch, and case law originating from the federal judiciary. The United States Code is the official compilation and codification of general and permanent federal statutory law.",Supreme Court.,The United States Constitution.
The use of paid mercenaries and domestic retinues replaced which method of raising troops?,national or feudal levy,"Changes also took place within the recruitment and composition of armies. The use of the national or feudal levy was gradually replaced by paid troops of domestic retinues or foreign mercenaries. The practice was associated with Edward III of England and the condottieri of the Italian city-states. All over Europe, Swiss soldiers were in particularly high demand. At the same time, the period also saw the emergence of the first permanent armies. It was in Valois France, under the heavy demands of the Hundred Years' War, that the armed forces gradually assumed a permanent nature.",Conscription.,The national or feudal levy.
What appeared at the end of the late Eastern Han period?,early form of semi-cursive script,"By the late Eastern Han period, an early form of semi-cursive script appeared, developing out of a cursively written form of neo-clerical script[c] and simple cursive. This semi-cursive script was traditionally attributed to Liu Desheng c. 147–188 AD,[d] although such attributions refer to early masters of a script rather than to their actual inventors, since the scripts generally evolved into being over time. Qiu gives examples of early semi-cursive script, showing that it had popular origins rather than being purely Liu’s invention.",Three Kingdoms period.,An early form of semi-cursive script.
In which year did the Carnation Revolution take place?,1974,"A report released in January 2011 by the Diário de Notícias and published in Portugal by Gradiva, had demonstrated that in the period between the Carnation Revolution in 1974 and 2010, the democratic Portuguese Republic governments encouraged over-expenditure and investment bubbles through unclear Public–private partnerships and funding of numerous ineffective and unnecessary external consultancy and advisory of committees and firms. This allowed considerable slippage in state-managed public works and inflated top management and head officer bonuses and wages. Persistent and lasting recruitment policies boosted the number of redundant public servants. Risky credit, public debt creation, and European structural and cohesion funds were mismanaged across almost four decades.","Carnation Revolution, 1974.",1974.
Who was Eugene Belgrand under?,Napoleon III,"Paris in its early history had only the Seine and Bièvre rivers for water. From 1809, the Canal de l'Ourcq provided Paris with water from less-polluted rivers to the north-east of the capital. From 1857, the civil engineer Eugène Belgrand, under Napoleon III, oversaw the construction of a series of new aqueducts that brought water from locations all around the city to several reservoirs built atop the Capital's highest points of elevation. From then on, the new reservoir system became Paris' principal source of drinking water, and the remains of the old system, pumped into lower levels of the same reservoirs, were from then on used for the cleaning of Paris' streets. This system is still a major part of Paris' modern water-supply network. Today Paris has more than 2,400 km (1,491 mi) of underground passageways dedicated to the evacuation of Paris' liquid wastes.",Eugene Belgrand under Napoleon.,Napoleon III.
Who started the fight between the MVD and the NAA in 1918?,the MVD,"Gorbachev's inability to alleviate any of Armenia's problems created disillusionment among the Armenians and fed a growing hunger for independence. In May 1990, the New Armenian Army (NAA) was established, serving as a defence force separate from the Soviet Red Army. Clashes soon broke out between the NAA and Soviet Internal Security Forces (MVD) troops based in Yerevan when Armenians decided to commemorate the establishment of the 1918 First Republic of Armenia. The violence resulted in the deaths of five Armenians killed in a shootout with the MVD at the railway station. Witnesses there claimed that the MVD used excessive force and that they had instigated the fighting.",I'm unable to verify who started the fight between the MVD and the NAA in 1918.,Armenians commemorated the 1918 First Republic of Armenia.
What are 3 other common forms of bad antibiotic practices?,"failure to take the entire prescribed course of the antibiotic, incorrect dosage and administration, or failure to rest for sufficient recovery","Common forms of antibiotic misuse include excessive use of prophylactic antibiotics in travelers and failure of medical professionals to prescribe the correct dosage of antibiotics on the basis of the patient's weight and history of prior use. Other forms of misuse include failure to take the entire prescribed course of the antibiotic, incorrect dosage and administration, or failure to rest for sufficient recovery. Inappropriate antibiotic treatment, for example, is their prescription to treat viral infections such as the common cold. One study on respiratory tract infections found ""physicians were more likely to prescribe antibiotics to patients who appeared to expect them"". Multifactorial interventions aimed at both physicians and patients can reduce inappropriate prescription of antibiotics.","1. Overprescription of antibiotics
2. Misuse of antibiotics in agriculture
3. Antibiotic resistance","1. Incorrect dosage and administration.
2. Failure to rest for recovery.
3. Failure to complete the course"
Over how many parade groups participate in the festivities? ,50,"La Diablada Carnival takes place in Oruro in central Bolivia. It is celebrated in honor of the miners' patron saint, Vírgen de Socavon (the Virgin of the Tunnels). Over 50 parade groups dance, sing and play music over a five kilometre-long course. Participants dress up as demons, devils, angels, Incas and Spanish conquistadors. Dances include caporales and tinkus. The parade runs from morning until late at night, 18 hours a day, 3 days before Ash Wednesday. It was declared the 2001 ""Masterpieces of Oral Heritage and Intangible Heritage of Humanity"" for UNESCO. Throughout the country celebrations are held involving traditional rhythms and water parties. In Santa Cruz de la Sierra, on the east side of the country, tropical weather allows a Brazilian-type Carnival, with Comparsas dancing traditional songs in matching uniforms.",I don't have enough information about the specific parade you are referring to.,Over 50 parade groups.
What did the Enlightenment mean for moderate Christians?,a return to simple Scripture,"Enlightenment era religious commentary was a response to the preceding century of religious conflict in Europe, especially the Thirty Years' War. Theologians of the Enlightenment wanted to reform their faith to its generally non-confrontational roots and to limit the capacity for religious controversy to spill over into politics and warfare while still maintaining a true faith in God. For moderate Christians, this meant a return to simple Scripture. John Locke abandoned the corpus of theological commentary in favor of an ""unprejudiced examination"" of the Word of God alone. He determined the essence of Christianity to be a belief in Christ the redeemer and recommended avoiding more detailed debate. Thomas Jefferson in the Jefferson Bible went further; he dropped any passages dealing with miracles, visitations of angels, and the resurrection of Jesus after his death. He tried to extract the practical Christian moral code of the New Testament.","Moderate Christians saw Enlightenment as:

1. Rationalism
2. Tolerance
3. Reason over dog",A return to simple Scripture.
In what year did IBM get its name?,1924,"The company originated in 1911 as the Computing-Tabulating-Recording Company (CTR) through the consolidation of The Tabulating Machine Company, the International Time Recording Company, the Computing Scale Company and the Bundy Manufacturing Company. CTR was renamed ""International Business Machines"" in 1924, a name which Thomas J. Watson first used for a CTR Canadian subsidiary. The initialism IBM followed. Securities analysts nicknamed the company Big Blue for its size and common use of the color in products, packaging and its logo.",IBM founded in 1911.,1924.
What is 1 foundation goal ,One of the foundation's goals is to lower poverty by increasing the number of college graduates in the United States,"One of the foundation's goals is to lower poverty by increasing the number of college graduates in the United States, and the organization has funded ""Reimagining Aid Design and Delivery"" grants to think tanks and advocacy organizations to produce white papers on ideas for changing the current system of federal financial aid for college students, with a goal of increasing graduation rates. One of the ways the foundation has sought to increase the number of college graduates is to get them through college faster, but that idea has received some pushback from organizations of universities and colleges.",1 foundation goal: Financial stability,Lower poverty.
What word is used in Japan for comics?,manga,"Cross-cultural study of comics is complicated by the great difference in meaning and scope of the words for ""comics"" in different languages. The French term for comics, bandes dessinées (""drawn strip"") emphasizes the juxtaposition of drawn images as a defining factor, which can imply the exclusion of even photographic comics. The term manga is used in Japanese to indicate all forms of comics, cartooning, and caricature.",Manga,"""Manga"""
The change in universities towards the completion of the early modern period is credited with the formation of what entity?,the modern state,"By the end of the early modern period, the structure and orientation of higher education had changed in ways that are eminently recognizable for the modern context. Aristotle was no longer a force providing the epistemological and methodological focus for universities and a more mechanistic orientation was emerging. The hierarchical place of theological knowledge had for the most part been displaced and the humanities had become a fixture, and a new openness was beginning to take hold in the construction and dissemination of knowledge that were to become imperative for the formation of the modern state.",Modern University System,The modern state.
What Utrecht waterways host to ,Utrecht's waterways are used by several rowing clubs,"Utrecht is home to the premier league (professional) football club FC Utrecht, which plays in Stadium Nieuw Galgenwaard. It is also the home of Kampong, the largest (amateur) sportsclub in the Netherlands (4,500 members), SV Kampong. Kampong features fieldhockey, soccer, cricket, tennis, squash and jeu de boules. Kampong's men and women top hockey squads play in the highest Dutch hockey league, the Rabohoofdklasse.Utrecht is also home to the baseball and Sofball club: UVV which plays in the highest Dutch baseball league: de Hoofdklasse. Utrecht's waterways are used by several rowing clubs. Viking is a large club open to the general public, and the student clubs Orca and Triton compete in the Varsity each year.",Utrecht canals host boats.,several rowing clubs.
When FIFA ban Barcelona from buying players?,April 2014,"In April 2014, FIFA banned the club from buying players for the next two transfer windows following the violation of the FIFA's rules about the transfer of footballers aged under 18. A statement on FIFA's website read ""With regard to the case in question, FC Barcelona has been found to be in breach of art. 19 of the Regulations in the case of ten minor players and to have committed several other concurrent infringements in the context of other players, including under Annexe 2 of the Regulations. The Disciplinary Committee regarded the infringements as serious and decided to sanction the club with a transfer ban at both national and international level for two complete and consecutive transfer periods, together with a fine of CHF 450,000. Additionally, the club was granted a period of 90 days in which to regularise the situation of all minor players concerned."" FIFA rejected an appeal in August but the pending appeal to the Court of Arbitration for Sport allowed Barcelona to sign players during the summer of 2014.",FIFA bans Barcelona from buying players in 2023,In April 2014.
What theory argues that conceptual cognition is not required for emotional meaning?,the perceptual theory,"Theories dealing with perception either use one or multiples perceptions in order to find an emotion (Goldie, 2007).A recent hybrid of the somatic and cognitive theories of emotion is the perceptual theory. This theory is neo-Jamesian in arguing that bodily responses are central to emotions, yet it emphasizes the meaningfulness of emotions or the idea that emotions are about something, as is recognized by cognitive theories. The novel claim of this theory is that conceptually-based cognition is unnecessary for such meaning. Rather the bodily changes themselves perceive the meaningful content of the emotion because of being causally triggered by certain situations. In this respect, emotions are held to be analogous to faculties such as vision or touch, which provide information about the relation between the subject and the world in various ways. A sophisticated defense of this view is found in philosopher Jesse Prinz's book Gut Reactions, and psychologist James Laird's book Feelings.",Evolutionary functionalism.,Perceptual theory.
Which two Tennessee counties cover the area that comprised North Carolina's Tennessee County?,Montgomery County and Robertson County,"The modern spelling, Tennessee, is attributed to James Glen, the governor of South Carolina, who used this spelling in his official correspondence during the 1750s. The spelling was popularized by the publication of Henry Timberlake's ""Draught of the Cherokee Country"" in 1765. In 1788, North Carolina created ""Tennessee County"", the third county to be established in what is now Middle Tennessee. (Tennessee County was the predecessor to current-day Montgomery County and Robertson County.) When a constitutional convention met in 1796 to organize a new state out of the Southwest Territory, it adopted ""Tennessee"" as the name of the state.",Cocke and Greene.,Montgomery County and Robertson County.
What days were AFL games traditionally played on before the TV deal?,Friday or Saturday,"Beginning with the 2003 season, the AFL made a deal with NBC to televise league games, which was renewed for another two years in 2005. In conjunction with this, the league moved the beginning of the season from May to February (the week after the NFL's Super Bowl) and scheduled most of its games on Sunday instead of Friday or Saturday as it had in the past. In 2006, because of the XX Winter Olympic Games, the Stanley Cup playoffs and the Daytona 500, NBC scaled back from weekly coverage to scattered coverage during the regular season, but committed to a full playoff schedule ending with the 20th ArenaBowl. NBC and the Arena Football League officially severed ties on June 30, 2006, having failed to reach a new broadcast deal. Las Vegas owner Jim Ferraro stated during a radio interview that the reason why a deal failed is because ESPN refused to show highlights or even mention a product being broadcast on NBC.",Saturday afternoons.,Friday and Saturday.
Why are the waxwing Bombycilla not migrating for?,enhanced breeding opportunities,"Species that have no long-distance migratory relatives, such as the waxwings Bombycilla, are effectively moving in response to winter weather and the loss of their usual winter food, rather than enhanced breeding opportunities.",They don't migrate.,They do not have relatives.
What were the military dominated governments known as?,the Beiyang government,"After the early 20th century revolutions, shifting alliances of China's regional warlords waged war for control of the Beijing government. Despite the fact that various warlords gained control of the government in Beijing during the warlord era, this did not constitute a new era of control or governance, because other warlords did not acknowledge the transitory governments in this period and were a law unto themselves. These military-dominated governments were collectively known as the Beiyang government. The warlord era ended around 1927.",Dictatorships,The Beiyang government.
In what year did the CIA establish its first training facility?,1950,"The CIA established its first training facility, the Office of Training and Education, in 1950. Following the end of the Cold War, the CIA's training budget was slashed, which had a negative effect on employee retention. In response, Director of Central Intelligence George Tenet established CIA University in 2002. CIA University holds between 200 and 300 courses each year, training both new hires and experienced intelligence officers, as well as CIA support staff. The facility works in partnership with the National Intelligence University, and includes the Sherman Kent School for Intelligence Analysis, the Directorate of Analysis' component of the university.",CIA Training Facility: 1947,1950.
How are MP3s compressed?,lossily-compressed,"Meanwhile, with the advent and popularity of Internet-based distribution of files in lossily-compressed audio formats such as MP3, sales of CDs began to decline in the 2000s. For example, between 2000 - 2008, despite overall growth in music sales and one anomalous year of increase, major-label CD sales declined overall by 20%, although independent and DIY music sales may be tracking better according to figures released 30 March 2009, and CDs still continue to sell greatly. As of 2012, CDs and DVDs made up only 34 percent of music sales in the United States. In Japan, however, over 80 percent of music was bought on CDs and other physical formats as of 2015.",Lame algorithm.,MP3s are lossily-compressed.
What species saw its numbers rising while elephant numbers remained stable?,hippopotamus,"In contrast, Botswana has recently been forced to ban trophy hunting following a precipitous wildlife decline. The numbers of antelope plummeted across Botswana, with a resultant decline in predator numbers, while elephant numbers remained stable and hippopotamus numbers rose. According to the government of Botswana, trophy hunting is at least partly to blame for this, but many other factors, such as poaching, drought and habitat loss are also to blame. Uganda recently did the same, arguing that ""the share of benefits of sport hunting were lopsided and unlikely to deter poaching or improve [Uganda's] capacity to manage the wildlife reserves.""",Lion.,Hippopotamuses.
In which time period did discrimination policies originate from?,Reconstruction Era,"Affirmative action is a subject of controversy. Some policies adopted as affirmative action, such as racial quotas or gender quotas for collegiate admission, have been criticized as a form of reverse discrimination, and such implementation of affirmative action has been ruled unconstitutional by the majority opinion of Gratz v. Bollinger. Affirmative action as a practice was upheld by the Supreme Court's decision in Grutter v. Bollinger in 2003. Affirmative action policies were developed in order to correct decades of discrimination stemming from the Reconstruction Era by granting disadvantaged minorities opportunities. Many believe that the diversity of current American society suggests that affirmative action policies succeeded and are no longer required. Opponents of affirmative action argue that these policies are outdated and lead to reverse discrimination which entails favoring one group over another based upon racial preference rather than achievement.",Ancient Greece (500 BCE).,The Reconstruction Era.
What does Namibia protect in it's constitution? ,natural resources,"Namibia is one of few countries in the world to specifically address conservation and protection of natural resources in its constitution. Article 95 states, ""The State shall actively promote and maintain the welfare of the people by adopting international policies aimed at the following: maintenance of ecosystems, essential ecological processes, and biological diversity of Namibia, and utilisation of living natural resources on a sustainable basis for the benefit of all Namibians, both present and future.""",Language rights.,"Ecosystems, ecological processes, and biodiversity."
When was the term kirishitan used by the Japanese?,16th and 17th centuries,"In Japan, the term kirishitan (written in Edo period documents 吉利支丹, 切支丹, and in modern Japanese histories as キリシタン), from Portuguese cristão, referred to Roman Catholics in the 16th and 17th centuries before the religion was banned by the Tokugawa shogunate. Today, Christians are referred to in Standard Japanese as キリスト教徒, Kirisuto-kyōto or the English-derived term クリスチャン kurisuchan.",Kirishitan: 16th century.,16th and 17th centuries.
