question_id,question,reference,context,our_answer_wo_context,our_answer_w_context
20245a760bde11eba7f7acde48001122,"Where was the place of death of Crato, Count Of Nassau-Saarbrücken's father?",Metz,"Crato, Count of Nassau-Saarbrücken (7 April 1621 – 25 July 1642, Straelen), was the oldest son of Count William Louis of Nassau-Saarbrücken and his wife, Landgravine Anna Amalia of Baden-Durlach. He succeeded his father as Count of Nassau-Saarbrücken in 1640. However, as he was still a minor at the time, he stood under the regency of his mother. Crato was killed in battle at Straelen in 1642. He was succeeded by his younger brother John Louis.
William Louis of Nassau-Saarbrücken (18 December 1590, Ottweiler – 22 August 1640, Metz), was a Count of Saarbrücken.","I do not have information on the death of Crato, Count Of",Metz.
98f15dfa08e611ebbda5ac1f6bf848b6,"Who is younger, Moses Harman or Isaac Deutscher?",Isaac Deutscher,"Isaac Deutscher (3 April 1907 – 19 August 1967) was a Polish Marxist writer, journalist and political activist who moved to the United Kingdom before the outbreak of World War II. He is best known as a biographer of Leon Trotsky and Joseph Stalin and as a commentator on Soviet affairs. His three-volume biography of Trotsky was highly influential among the British New Left.
Moses Harman( October 12, 1830 January 30, 1910) was an American schoolteacher and publisher notable for his staunch support for women's rights. He was prosecuted under the Comstock Law for content published in his anarchist periodical"" Lucifer the Lightbearer"". He was arrested and jailed multiple times for publishing allegedly obscene material. His daughter, Lillian Harman, was also a notable anarchist.","Moses Harman (1864-1939) 
Isaac",Isaac Deutscher (1907) is younger.
e9ef97b708e911ebbda7ac1f6bf848b6,"Who is younger, Pier Celestino Gilardi or Robert Heetmøller?",Robert Heetmøller,"Robert Heetmøller( 28 June 1950 – 13 January 2014) was a Norwegian painter. He was born in Trondheim, but grew up in Oppsal in Oslo. He attended the Norwegian National Academy of Craft and Art Industry from 1968 to 1971 and the Norwegian National Academy of Fine Arts from 1974 to 1975 and 1978 to 1981. His debuted at the Autumn Exhibition in 1978, and also exhibited here in 1979 and 1980. His works were later bought by the Parliament of Norway and the Arts Council of Norway. He resided in Oslo. He died in January 2014 at a care center in Oslo.
Pier Celestino Gilardi (16 September 1837 – 4 October 1905) was an Italian painter and sculptor.",I cannot verify who is younger between Pier Celestino Gilardi and,Robert Heetmøller.
2c79e174090d11ebbdadac1f6bf848b6,"Which film came out earlier, Storm Over Bengal or Rhodes Of Africa?",Rhodes Of Africa,"Storm Over Bengal is a 1938 adventure film that was nominated at the 11th Academy Awards for Best Score, the nomination was for Cy Feuer. Set during the British Raj, the film's working title was ""Bengal Lancer Patrol"". The film was shot in Owens Valley, California. The film stars Patric Knowles in his first film after leaving Warner Bros. as well as Richard Cromwell and Douglass Dumbrille who played similar roles in ""Lives of a Bengal Lancer"".
Rhodes of Africa is a 1936 British biographical film charting the life of Cecil Rhodes. It was directed by Berthold Viertel and starred Walter Huston, Oskar Homolka, Basil Sydney and Bernard Lee.",Rhodes of Africa (1950),Rhodes of Africa (1936)
14992e0a0bdb11eba7f7acde48001122,When was Hector Macpherson Jr.'s father born?,"April 22, 1875","Hector Macpherson Sr. (April 22, 1875 – March 28, 1970) was a Canadian–American academic and politician of Scottish descent. He was the father of Hector Macpherson Jr.
Hector ""Huck"" Macpherson, Jr. (September 18, 1918 – March 21, 2015) was an American dairy farmer and politician in the state of Oregon. Macpherson was a member of the Oregon State Senate from 1971 to 1974 and is best remembered as a primary author of the seminal 1973 Land Conservation and Development Act (SB 100) which established the Oregon Land Conservation and Development Commission and statewide land use planning regulation. As the navigator aboard a B-17 Flying Fortress during World War II, Macpherson flew 50 combat missions and was the recipient of the Distinguished Flying Cross and the Bronze Star Medal for his service, leaving the United States Army Air Corps in 1945 with the rank of Major. Following the war Macpherson took over the family dairy farm and became involved with the politics of land use planning over concerns with encroaching urban development of farmland. Macpherson was the son of former Oregon state representative Hector Macpherson, Sr. and the father of former Oregon state representative Greg Macpherson.",I don't have information on Hector Macpherson Jr.'s father,"April 22, 1875."
9e506db00bdc11eba7f7acde48001122,Who is the mother of the director of film Brenda Brave?,Käbi Laretei,"Brenda Brave (original title: Kajsa Kavat) is a 1989 Swedish film directed by Daniel Bergman and based on the novel ""Brenda Brave Helps Grandmother"" by Astrid Lindgren.
Daniel Sebastian Bergman (born 7 September 1962) is a Swedish film director. He is the son of Ingmar Bergman and Käbi Laretei. As a child, Bergman appeared in a 1967 Swedish program called ""Stimulantia"", which consisted of eight episodes, one of which was directed by his father Ingmar. The short, 10-minute film focuses on the first two years of Daniel's life. His mother Käbi is also seen. He was the assistant director of Andrei Tarkovsky on Offret (The Sacrifice, 1986). Bergman directed an episode of the Swedish horror series ""Chock"", with Ernst-Hugo Järegård. Bergman's independent ability as a director was seen as compromised following the 1992 film ""Sunday's Children"", which he directed with his father providing the screenplay. The film was seen in Swedish reviews as an attempt by Ingmar to boost the career of his son.",I couldn't find any information about a film director named Brenda Brave.,Käbi Laretei.
4ac069e408ac11ebbd82ac1f6bf848b6,"Which film has the director who was born first, I'Ll Stick To You or Alone (2008 Film)?",I'Ll Stick To You,"Çağan Irmak( born 4 April 1970) is a Turkish film and television writer and director, who has managed to attract a large audience in Turkey and is best known for the TV series"" Çemberimde Gül Oya""( 2004 – 2005) and"" Asmalı Konak""( 2002 – 2004), and for the hit films"" Alone""( 2008) and"" My Father and My Son""( 2005), for which he received Turkish Cinema Writers Association Awards for Best Film, Best Screenplay and Best Director. He studied Radio, TV and Film Studies at Ege University Faculty of Communications, receiving the Sedat Simavi Award for two short films,"" Masal""( The Tale) and"" Kurban""( The Sacrifice), which he made in the course of his studies. After graduating in 1992, he worked in cinema and television as an assistant director to Orhan Oğuz, Mahinur Ergun, Filiz Kaynak and Yusuf Kurçenli, and was awarded first prize by IFSAK for his short film"" Play Me Old and Wise""( 1998). He wrote and directed the TV series"" Good Morning Brother Istanbul""( 1998 – 2001) on atv, and the TV film"" Strawberry Cake""( 2000) before achieving some early success with his first feature film,"" Wish Me Luck""( 2001), which Rekin Teksoy describes as unremarkable, and collaborations with Mahinur Ergun on the hit TV series"" Şaşıfelek Çıkmazı""( 2001) for TRT, and"" Asmalı Konak""( 2002 – 2004) for atv, for which he received numerous awards. A period of great success followed with popular TV series"" Çemberimde Gül Oya""( 2004 – 2005) on Kanal D, and hit films"" Everything About Mustafa""( 2004) and"" My Father and My Son""( 2005), which according to Rekin Teksoy successfully exploited the melodramatic idiom and was a huge box- office success, which, showed that popular cinema was successful in appealing to wide audiences as well as receiving six Turkish Cinema Writers Association Awards including Best Director. Following this he wrote and directed several installment in the TV horror film series"" Kabuslar Evi"" for FOX, and the film"" The Messenger"" before achieving another popular success with the film"" Alone""( 2008). Since then he has made the short film"" Düşlerimdeki Atatürk""( 2008), the TV series"" Yol Arkadaşım""( 2008 – 2009) for Star and the film"" In Darkness""( 2009). He has been productive in the last years and has produced 4 additional films:"" Sleeping Princess""( 2010),"" My Grandfather's People""( 2011),"" Are We OK?""( 2012) and"" Whisper If I Forget""( 2014).
Leslie Stephenson Hiscott( 25 July 18943 May 1968) was an English film director and screenwriter who made over sixty films between 1925 and 1956. He was born in London in 1894. He directed"" Alibi""( 1931), the first ever depiction of Hercule Poirot, Agatha Christie's Belgian detective, with Austin Trevor in the lead role. He directed a follow- up,"" Black Coffee""( also 1931), also starring Trevor. During the 1930s, he became best known for his mystery films, also working on portrayals of Conan Doyle's Sherlock Holmes and A. E. W. Mason's Inspector Hanaud. He worked extensively at Twickenham Film Studios in west London where he was a co-founder.
I'll Stick to You is a 1933 British comedy film directed by Leslie S. Hiscott and starring Jay Laurier, Betty Astell, Louis Hayward and Hal Walters. It was made at Beaconsfield Studios as a quota quickie.
Alone is a 2008 Turkish film written and directed by Çağan Irmak. The movie has received widespread interest from the Turkish media and had an outstanding performance in the box-office. The film's Turkish title"" Issız Adam"" is a triple entendre, as it can mean"" Abandoned ManMy Abandoned Island"", and"" My Lonely Ada"", Ada being the name of the female lead character.","I couldn't find any information about the film ""I'Ll Stick",Leslie Stephenson Hiscott was born first.
e2c19fd80bae11ebab90acde48001122,Who is the paternal grandfather of Lady Helen Taylor?,"Prince George, Duke of Kent","Lady Helen Marina Lucy Taylor (""née"" Windsor; born 28 April 1964) is a relative of the British royal family. She is the daughter of Prince Edward, Duke of Kent, and Katharine, Duchess of Kent, and a great-granddaughter of King George V. She is currently 43rd in line of succession to the British throne.
Prince Edward, Duke of Kent, (Edward George Nicholas Paul Patrick; born 9 October 1935) is a member of the British royal family. He is a first cousin of Queen Elizabeth II through their fathers, Prince George, Duke of Kent, and King George VI. Because his mother, Princess Marina of Greece and Denmark was a cousin of Prince Philip, Duke of Edinburgh, Edward is both a second cousin and first cousin once removed to Prince Charles and his siblings. He has held the title of Duke of Kent since the age of six, after the death of his father in a plane crash in 1942. He carries out engagements on behalf of the Queen. He is president of the All England Lawn Tennis and Croquet Club, presenting the trophies to the Wimbledon champion and runner-up, and served as the United Kingdom's Special Representative for International Trade and Investment, retiring in 2001. He is president of The Scout Association, the Royal United Services Institute, and the Royal Institution of Great Britain, and since 1967 Grand Master of the United Grand Lodge of England. He is also patron of the Institute of Advanced Motorists, an independent road safety charity which specialises in training and advice for post-licence drivers and riders.",I am unable to verify who the paternal grandfather of Lady Helen Taylor is,King George V.
c27b592008b411ebbd88ac1f6bf848b6,"Who is younger, Luciano Tajoli or Mattia Trianni?",Mattia Trianni,"Mattia Trianni( born 16 January 1993) is a German footballer of Italian descent who plays as a midfielder for Reno 1868 in the USL Championship.
Luciano Tajoli( 17 April 1920 – 3 August 1996) was an Italian singer and actor.",I cannot verify who is younger between Luciano Tajoli and Mattia,Mattia Trianni.
68e304160bdd11eba7f7acde48001122,Where was the mother of Desiderata Of The Lombards born?,Brescia,"Ansa or Ansia (died after 774) belonged to an aristocratic family of Brescia and was the wife of Desiderius (756-774), King of the Lombards. The Latin name does not imply a Romano-Italic origin, as Romans and Lombards in the eighth century tended to take either Lombard or Latin names. She was probably a Lombard, the daughter of Verissimo and sister of King Hildeprand, Arechis, and Donnolo, and niece of King Liutprand. In or around 753, she founded the monastery of St. Michele and St. Pietro at Brescia. Her husband meanwhile, had become a royal officer and the couple moved first to the royal court, and then to Tuscany, when Desiderius became 'Duke of Tuscia'. After the death of King Aistulf, Desiderius managed to take the throne and Ansa become queen, actively collaborating with her husband, especially in religious matters. In Brescia, she expanded the previously founded monastery, which became the Monastery of San Salvatore, endowed it with exceptional wealth and made her daughter Anselperga the abbess. The jurisdiction of San Salvatore subjugated an entire network of monasteries in Lombardy, Emilia and Tuscany, creating a federation directly controlled by the sovereign. After 759, she appeared frequently in Desiderius' diplomas and was probably the architect of his religious policy. On 5 June 774, she was presented along with her husband to Charlemagne, who had conquered Pavia. Paul the Deacon wrote an ""Epitaphium Ansae reginae"" praising her politics, her piety, and her beauty: ""coniunx pulcherrimamost beautiful wife"" was certainly active in the political and presumably contributed to the marriage policy that made the Lombard monarchy a major European power. Her children with Desiderius were a son and four daughters: After the fall of the Lombard kingdom, caused by Charlemagne, Ansa was locked up with her husband and daughter without a name, maybe Desiderata, at a monastery of the Carolingian Empire, in Liège or Corbie. A local tradition, however, states that she was buried in the monastery she founded; so it is possible that, after the death of her husband, Ansa, then elderly, received permission to retire to Italy.
Desiderata was one of four daughters of Desiderius King of the Lombards and his wife Ansa, Queen of the Lombards. She was married to Charlemagne in 770, in order for him to create a bond between Francia and the Kingdom of the Lombards and attempt to isolate his brother Carloman I who ruled over the central territories of Francia. The marriage lasted just one year and there are no known children from the marriage.",I couldn't find any information about a historical figure named Desiderata,Brescia.
00a68bf208cc11ebbd93ac1f6bf848b6,Do both films Cool Blue and Legend Of The Ancient Sword have the directors that share the same nationality?,yes,"Renny Harlin( born Lauri Mauritz Harjola; 15 March 1959) is a Finnish film director, producer and screenwriter. His films include,"" Die Hard 2 Cliffhanger The Long Kiss Goodnight, Deep Blue Sea"" and"" Devil's Pass. Harlin's movies have earned$ 525,410,873 in the United States and$ 1,160,546,146 in the worldwide aggregate box office as of October 2016, making him the 115th highest- grossing director in the global film market. His film"" Cutthroat Island"" held the Guinness world record for"" Biggest Box- Office Flop of All Time"".
Legend of the Ancient Sword is a Chinese fantasy- adventure- action film directed by Renny Harlin and based on the video game"" Gu Jian Qi Tan 2"". The film was released worldwide on October 1, 2018.
Cool Blue is a 1990 American romantic comedy film directed by Mark Mullin and Richard Shepard, and stars Woody Harrelson, Hank Azaria, Ely Pouget and Sean Penn. The film received an R rating by the MPAA.
Richard Shepard( born 1965) is an American film and television director and screenwriter.","Cool Blue: 
- Director: Takashi Miike
- National","No, they do not."
47a9872a0bdd11eba7f7acde48001122,Where was the place of death of the director of film Under The Tonto Rim (1928 Film)?,Long Island,"Herman C. Raymaker (22 January 1893 – 6 March 1944) was an American film director and actor. He directed 51 films between 1917 and 1934. His last two films as director were ""Trailing the Killer"" (1932) and ""Adventure Girl"" (1934). He was born in Oakland, California, USA and died in Oceanside, Long Island, New York.
Under the Tonto Rim is a lost 1928 American silent western film directed by Herman C. Raymaker and starring Richard Arlen and Mary Brian. It is based on the novel a novel by Zane Grey and was remade in 1933 and 1947.",I couldn't find any information about the director of the 1928,"Oceanside, Long Island, New York."
a3ec33780bda11eba7f7acde48001122,Which country the director of film Nemesis 4: Death Angel is from?,America,"Nemesis 4: Death Angel, also known as Nemesis 4 and Cry Of Angels: Nemesis 4, is a low-budget 1996 science fiction film by director Albert Pyun, who also directed the previous installments in the series. It is the sequel to  as is the fourth installment in the ""Nemesis"" film series.
Albert Pyun (born May 19, 1953) is an American film director best known for having made many low-budget B-movies and direct-to-video action films. The Independent Film Channel said that Pyun ""has carved out a unique niche as a director of low-budget, high-concept genre films starring actors past their prime"", adding that ""others believe this a charitable description for Pyun, who has also been derided as the new Ed Wood. "" Though he frequently blends kickboxing and hybrid martial arts with science fiction and dystopic or post-apocalyptic themes, which often include cyborgs, Pyun stated in an interview that ""I have really no interest in cyborgs. And I've never really had any interest in post-apocalyptic stories or settings. It just seemed that those situations presented a way for me to make movies with very little money, and to explore ideas that I really wanted to explore — even if they were [controversial]."" Some of Pyun's better known films include ""The Sword and the SorcererCyborgCaptain America"", and ""Nemesis"". Pyun was a military brat and lived on bases around the world until his father settled in Hawaii. Pyun went to school in Kailua, a small town located on the windward side of Oahu. Pyun's first 8mm and 16mm movies were made in Kailua and he credits living in foreign countries and growing up in Hawaii as strong influences on his filmmaking style.","I couldn't find any information about a film called ""Nemesis",The United States.
aa0753520bdd11eba7f7acde48001122,Where was the place of death of Aldetrude's mother?,Mons,"Aldetrude (died c. 696, or 526) was a Christian saint and from 684 was abbess of Maubeuge Abbey in the County of Hainault, now in northern France. She is also known as Aldetrude de Maubeuge, Aldetrude of Maubod, Aldetrudis and Adeltrude. She was one of the four children of Saint Waltrude, also known as Waldetrude, her siblings being Saint Landericus, a bishop of Paris; Saint Dentelin who died very young; and Saint Madelberta, who was also abbess of Maubeuge. Her aunt Aldegonde, her mother's sister, was the first abbess of Maubeuge; Aldetrude was sent into her care as a girl and then succeeded her, and her sister Madelberte was the third abbess. She died and is celebrated on the 25 or 27 February. The exact year of her death is unknown though some sources say c. 696, and she is said to have lived to an advanced age. In ""The Book of Saints: A Comprehensive Biographical Dictionary"" (2015), ""edited ... on behalf of the Benedictine Monks of St. Augustine's Abbey, Chilworth"" it is stated that ""Her extant biography is unreliable"" and ""The revised Roman Martyrology has her 170 years earlier"", giving a death date of 526.
Saint Waltrude (died April 9, 688 AD) is the patron saint of Mons, Belgium, where she is known in French as Sainte Waudru, and of Herentals, Belgium, where she is known in Dutch as Sint-Waldetrudis or -Waltrudis. Both cities boast a large medieval church that bears her name.",I don't have information about Aldetrude's mother.,I do not know.
eeafddd00bdd11eba7f7acde48001122,Where was the editor of magazine Piauí (Magazine) born?,Rio de Janeiro,"João Moreira Salles (Rio de Janeiro, born 1962) is a Brazilian documentarian and president of the Instituto Moreira Salles. In 2006, he founded the magazine piauí. He has also taught courses on documentary at the Pontifical Catholic University of Rio de Janeiro and Princeton University.
piauí is a Brazilian culture magazine, created by the documentarian João Moreira Salles. It is edited by Editora Alvinegra and printed and distributed by Editora Abril. The first edition of ""piauí"" was launched in October 2006. Piauí is also the name of a Brazilian state in the northeastern part of the country. These are the main sections in piauí nowadays:",I couldn't find any information about the editor of magazine Piauí,Rio de Janeiro
0cc0c339084911ebbd55ac1f6bf848b6,"Are both films, The Perfect Specimen and Finders Keepers (1984 Film) had the same director?",no,"Finders Keepers is a 1984 comedy film directed by Richard Lester and starring Michael O' Keefe, Beverly D'Angelo, Brian Dennehy, Louis Gossett, Jr. and features an early performance by Jim Carrey. The movie was adapted from Charles Dennis' 1974 novel"" The Next- to- Last Train Ride"". The film opened on May 18, 1984, earning$ 865,207 during its first weekend in 753 theaters.
The Perfect Specimen is a 1937 film directed by Michael Curtiz and starring Errol Flynn and Joan Blondell. The picture is based on a novel by Samuel Hopkins Adams.","I couldn't find any information about a film called ""The Perfect Spec","No, they did not."
311655360bda11eba7f7acde48001122,What is the place of birth of Kaarin Fairfax's husband?,Adelaide,"Paul Maurice Kelly (born 13 January 1955) is an Australian rock music singer-songwriter and guitarist. He has performed solo, and has led numerous groups, including the Dots, the Coloured Girls, and the Messengers. He has worked with other artists and groups, including associated projects Professor Ratbaggy and Stardust Five. Kelly's music style has ranged from bluegrass to studio-oriented dub reggae, but his core output straddles folk, rock, and country. His lyrics capture the vastness of the culture and landscape of Australia by chronicling life about him for over 30 years. David Fricke from ""Rolling Stone"" calls Kelly ""one of the finest songwriters I have ever heard, Australian or otherwise. "" Kelly has said, ""Song writing is mysterious to me. I still feel like a total beginner. I don't feel like I have got it nailed yet"". After growing up in Adelaide, Kelly travelled around Australia before settling in Melbourne in 1976. He became involved in the pub rock scene and drug culture, and recorded two albums with Paul Kelly and the Dots. Kelly moved to Sydney by 1985, where he formed Paul Kelly and the Coloured Girls. The band was renamed Paul Kelly and the Messengers, initially only for international releases, to avoid possible racist interpretations. At the end of the 1980s, Kelly returned to Melbourne, and in 1991 he disbanded the Messengers. Kelly was married and divorced twice; he has three children and resides in St Kilda, a suburb of Melbourne. Dan Kelly, his nephew, is a singer and guitarist in his own right. Dan performed with Kelly on ""Ways and Means"" and ""Stolen Apples"". Both were members of Stardust Five, which released a self-titled album in 2006. On 22 September 2010 Kelly released his memoir, ""How to Make Gravy"", which he described as ""it's not traditional; it's writing around the A–Z theme – I tell stories around the song lyrics in alphabetical order"". His biographical film, , directed by Ian Darling, was released to cinemas in October 2012. Kelly's Top 40 singles include ""Billy BaxterBefore Too LongDarling It HurtsTo Her Door"" (his highest-charting local hit in 1987) , ""Dumb Things"" (appeared on United States charts in 1988), and ""Roll on Summer"". Top-20 albums include ""GossipUnder the SunComedySongs from the South"" (1997 compilation), ""... Nothing but a DreamStolen ApplesSpring and FallThe Merri Soul SessionsSeven Sonnets and a SongDeath's Dateless Night"" (with Charlie Owen) , ""Life Is Fine"" – his first number-one album – and ""Nature"". Kelly has won 14 Australian Recording Industry Association (ARIA) Music Awards, including his induction into their Hall of Fame in 1997. In 2001 the Australasian Performing Right Association (APRA) listed the Top 30 Australian songs of all time, which included Kelly's ""To Her Door"", and ""Treaty"", written by Kelly and members of Yothu Yindi. Aside from ""Treaty"", Kelly wrote or co-wrote several songs on Indigenous Australian social issues and historical events. He provided songs for many other artists, tailoring them to their particular vocal range. The album ""Women at the Well"" from 2002 had 14 female artists record his songs in tribute. Kelly was appointed as an Officer of the Order of Australia in 2017 for distinguished service to the performing arts and to the promotion of the national identity through contributions as a singer, songwriter and musician.
Kaarin Louise Fairfax (born 30 September 1959) is an Australian actress, director and singer who played the role of 'Dolour Darcy' in two TV miniseries ""The Harp in the South"" (1986) and its sequel ""Poor Man's Orange"" (1987) based on books of the same names by Ruth Park. She has also acted in other Australian television series throughout the 1980s, 1990s and 2000s, and recorded music under the name of Mary-Jo Starr. Fairfax had the role of 'Deb Mathieson' on Australian Broadcasting Corporation TV series, ""Bed of Roses"" (2008, 2010). Fairfax played the mother in the Rachel Perkins 2001 short film ""One Night the Moon"", a story of racial prejudice in the outback. Fairfax is the former partner of Australian musician Paul Kelly—they met in 1988— their two children are Madeleine (born 1991) and Memphis (born 1993). Memphis appeared with her parents in ""One Night the Moon"", the couple separated not long after the film's release. She appeared in the Australian sitcom ""Col'n Carpenter"", a spin-off from ""The Comedy Company"", after Vicki Blanche left the series. By 2008, Fairfax had established The Little Theatre Company in Frankston, Victoria, in honour of her father George Fairfax. Fairfax directed ""Frankston Lights"" in January 2009, it was a musical which included songs co-written by Madeleine and Memphis and Robert McHugh. Kaarin has been working extensively since that time, joining forces with Sally Baillieu and directing The Wetlands Project, One Last Chance- performed in the Wetlands at Tootgarook. She runs with Sally The Lineup at Frankston Arts Centre Cube37. A musical mentorship program for young emerging artists. In January 2012 she directed ""Good People"" for Red Stitch Actors Theatre. Her children Madeleine and Memphis have recorded their first EP with additional band member Sam Humphrey. The band's name is Wishful, the EP is called Fifty Days and it was produced by their father Paul Kelly. Kaarin and Sally have an Arts program on 3RPP Radio Port Phillip on the Mornington Peninsula, called Arts About. In 2015, she co-starred in the film ""StalkHer"".",I don't have information about Kaarin Fairfax's husband.,There is no mention of Kaarin Fairfax's husband.
361644f00bdb11eba7f7acde48001122,"Where was the director of film Heaven, We Inherit A Castle born?",Elberfeld,"Peter Paul Brauer (born 16 May 1899 in Elberfeld, died 28 April 1959 in Berlin) was a German film producer and film director. In 1928, he became involved in film production in the Netherlands. That same year he returned to Germany and, over several years, produced several short films. After the takeover of the Nazis in March 1933, Brauer was production manager at the UFA. After 1938, he directed a number of feature films, mostly comedies. Between April 1939 and November 1940 Brauer was production chief of Terra Film. At the beginning of 1940, Brauer was assigned by Propaganda Minister Joseph Goebbels to produce the anti-Semitic film ""Jud Süß"" (1940). Brauer assigned himself the task of directing the film; however, he ran into difficulties in casting. Frustrated at the delay, Goebbels removed him in favor of Veit Harlan. In the 1940s, Brauer concentrated on directing and collaborated on some screenplays. Brauer was a member of the Nazi Party.
Heaven, We Inherit a Castle is a 1943 German comedy film directed by Peter Paul Brauer and starring Anny Ondra, Hans Brausewetter and Carla Rust. The film was shot in German-occupied Prague, Ondra's hometown, by the Prag-Film company. It was Ondra's last starring role. The film is based on Hans Fallada's novel ""Kleiner Mann - großer Mann, alles vertauscht"".","I couldn't find any information about the director of film Heaven, We",I do not know.
3b76b5c80bdc11eba7f7acde48001122,"What nationality is the performer of song Daddy, Come Home?",United States,"William Thomas ""Billy"" Murray (May 25, 1877 – August 17, 1954) was one of the most popular singers in the United States in the early 20th century. While he received star billing in vaudeville, he was best known for his prolific work in the recording studio, making records for almost every record label of the era.
Daddy, Come Home is a song written by Irving Berlin and first published in 1913.The humorous song begins ""Hello Central, dear Central, listen here: please connect me with my father"" and tells the story from the point of view of a young boy calling his father on the telephone to ask him to leave work and deal with an assortment of family problems at home. The song was recorded in 1914 by Billy Murray.","I couldn't find any information on a song called ""Daddy,",American.
f491b33e0bda11eba7f7acde48001122,What is the award that the director of film The Last Night Of The Barbary Coast got?,Jean Hersholt Humanitarian Award,"Sol Lesser (February 17, 1890 – September 19, 1980) was an American film producer. He received a star on the Hollywood Walk of Fame in 1960 and was awarded the Jean Hersholt Humanitarian Award in 1961.
The Last Night of the Barbary Coast (1913) was an early example of the exploitation film, showing what was purported to be the last night of the Barbary Coast red-light section of San Francisco. In reality, the Barbary Coast wasn't shut down until 1917. The film, directed by Hal Mohr and Sol Lesser, is now considered a lost film. Mohr, later an Academy Award winner, did the cinematography, and Lesser went on to become a Hollywood producer.","I couldn't find any information about the film ""The Last Night Of",Hal Mohr won an Academy Award.
828b24a4094b11ebbdaeac1f6bf848b6,"Which film was released earlier, Komaligal or Times Of Joy And Sorrow?",Times Of Joy And Sorrow,"Times of Joy and Sorrow( USA title) or The Lighthouse( UK title) is a 1957 color Japanese film directed by Keisuke Kinoshita, who shot on location at 11 different lighthouses throughout Japan, including opening scenes at Kannonzaki, the site of the country ’s first lighthouse.
"" Komaligal""( 1976)( Tamil: கோமாளிகள்,"" The Clowns"") is a Sri Lankan Tamil language film written by S.Ramdas and produced by M.Mohamed. This was the remake of the most popular radio comedy drama,"" Komaligalin Kummalam"" which was broadcast in Radio Ceylon in the mid 1970s. It was written by S. Ramdas who acted in lead role.","I couldn't find any information on ""Komaligal"" or",Times of Joy and Sorrow (1957)
c6d8aee7091311ebbdadac1f6bf848b6,"Which film came out first, King Rikki or De-Lovely?",King Rikki,"King Rikki( titled The Street King in some releases) is a 2002 drama film starring Jon Seda, Mario López, Tonantzin Carmelo and Timothy Paul Perrez. This film was based on the play"" Richard III"" by William Shakespeare. It was directed by James Gavin Bedford and written by Jesse Graham.
De- Lovely is a 2004 musical biopic directed by Irwin Winkler and released by Metro- Goldwyn- Mayer. The screenplay by Jay Cocks is based on the life and career of Cole Porter, from his first meeting with his wife, Linda Lee Thomas, until his death. It is the second biopic about the composer, following 1946's"" Night and Day"".","King Rikki (2005), De-Lovely (2004",King Rikki (2002)
25d5f7380bdc11eba7f7acde48001122,What is the place of birth of Prince Moriyoshi's father?,Kyoto,"He was the son of Emperor Go-Daigo and his consort Minamoto no Chikako. Moriyoshi was named by his father as the head abbot of the Enryaku- ji temple on Mount Hiei. Go- Daigo attempted to seize power in 1331 during the Genkō War. Prince Moriyoshi joined forces with Kusunoki Masashige. Moriyoshi tenaciously defended Mount Yoshino. Masashige's heroics defending Chihaya, together with Moriyoshi's efforts to rally troops, brought a large number of warriors to the loyalist cause. By 1333, the rival warlords Ashikaga Takauji and Nitta Yoshisada had both joined the cause; Yoshisada would lay siege to Kamakura in the same year. When the city finally fell, Regent Hōjō Takatoki fled to Tōsh ō temple, where he and his entire family committed suicide. This marked the end of Hōjō power. Restored to the throne, Go- Daigo started the Kenmu Restoration. After refusing to appoint Ashikaga Takauji to the post of"" sei-i taishōgun"", Daigo gave it to Prince Morinaga instead. Go- Daigo made the double mistake of giving the title to his sons Moriyoshi and Norinaga, two civilians, thus alienating Takauji and the warrior class, who felt he, as a military man and a descendant of the Minamoto clan, should have been"" shōgun"" instead. Takauji seized Moriyoshi in Yoshino"" on imperial warrant"", after rumors attributed to Go- Daigo's consort Renshi, that he was preparing an attack. Moriyoshi was then sent to Takauji's brother Tadayoshi in Kamakura. Tadayoshi had Moriyoshi beheaded in late August 1335. Morinaga ’s wife Princess Hinaturu and his vassal Take back Morinaga's head Run away to Yamanashi Morinaga's head was buried at the base of the katsura tree at Fujisan- Simomiya- Omuro- Sengen- Shrine. A Shinto shrine, Kamakura- gū, was built around the cave where Prince Moriyoshi was imprisoned. It was dedicated to him by Emperor Meiji in 1869.
Emperor Go- Daigo( 後醍醐天皇"" Go- Daigo- tennō"") ( November 26, 1288 – September 19, 1339) was the 96th emperor of Japan, according to the traditional order of succession. He successfully overthrew the Kamakura shogunate in 1333 and established the short lived Kenmu Restoration to bring the Imperial House back into power. This was to be the last time the emperor had any power until the Meiji Restoration in 1868. The Kenmu restoration was in turn overthrown by Ashikaga Takauji in 1336, ushering in the Ashikaga shogunate, and split the imperial family into two opposing factions between the Ashikaga backed Northern Court situated in Kyoto and the Southern Court based in Yoshino led by Go- Daigo and his later successors. This 14th- century sovereign personally chose his posthumous name after the 9th- century Emperor Daigo and"" go-""( 後), translates as"" later"", and he is thus sometimes called the"" Later Emperor Daigo"", or, in some older sources,"" Daigo, the second"" or as"" Daigo II"".",I don't have information about Prince Moriyoshi.,I do not know.
