question,context,our_answer_without_context,our_answer_with_context,entropy_without_context,entropy_with_context
What does a Society have a high degree of if its government officers have a great deal of discretion?,"The functional interpretation of the term ""rule of law"", consistent with the traditional English meaning, contrasts the ""rule of law"" with the ""rule of man."" According to the functional view, a society in which government officers have a great deal of discretion has a low degree of ""rule of law"", whereas a society in which government officers have little discretion has a high degree of ""rule of law"". Upholding the rule of law can sometimes require the punishment of those who commit offenses that are justifiable under natural law but not statutory law. The rule of law is thus somewhat at odds with flexibility, even when flexibility may be preferable.",A society with a high degree of discretion in its government officers typically has a high degree of democracy.,"A high degree of ""rule of law"".",0.9791,0.3032
What color is rotten zinc?,"Zinc is a bluish-white, lustrous, diamagnetic metal, though most common commercial grades of the metal have a dull finish. It is somewhat less dense than iron and has a hexagonal crystal structure, with a distorted form of hexagonal close packing, in which each atom has six nearest neighbors (at 265.9 pm) in its own plane and six others at a greater distance of 290.6 pm. The metal is hard and brittle at most temperatures but becomes malleable between 100 and 150 °C. Above 210 °C, the metal becomes brittle again and can be pulverized by beating. Zinc is a fair conductor of electricity. For a metal, zinc has relatively low melting (419.5 °C) and boiling points (907 °C). Its melting point is the lowest of all the transition metals aside from mercury and cadmium.",Rotten zinc is typically green.,White.,1.2398,1.1456
What is the worst design feature of English cathedrals?,"The distinctive characteristic of English cathedrals is their extreme length, and their internal emphasis upon the horizontal, which may be emphasised visually as much or more than the vertical lines. Each English cathedral (with the exception of Salisbury) has an extraordinary degree of stylistic diversity, when compared with most French, German and Italian cathedrals. It is not unusual for every part of the building to have been built in a different century and in a different style, with no attempt at creating a stylistic unity. Unlike French cathedrals, English cathedrals sprawl across their sites, with double transepts projecting strongly and Lady Chapels tacked on at a later date, such as at Westminster Abbey. In the west front, the doors are not as significant as in France, the usual congregational entrance being through a side porch. The West window is very large and never a rose, which are reserved for the transept gables. The west front may have two towers like a French Cathedral, or none. There is nearly always a tower at the crossing and it may be very large and surmounted by a spire. The distinctive English east end is square, but it may take a completely different form. Both internally and externally, the stonework is often richly decorated with carvings, particularly the capitals.","It's subjective to determine the ""worst"" design feature of English cathedrals, as opinions may vary depending on personal taste and architectural preferences. However, some features that are often criticized include:

1. The lack of symmetry and uniformity in some cathedrals, which can create a sense of disbalance.
2. The use of Gothic arches, which can be seen as cold and imposing.
3. The presence of gargoyles and grotesques, which can be considered","The worst design feature of English cathedrals is that they sprawl across their sites, with double transepts projecting strongly and Lady Chapels tacked on at a later date.",0.9637,0.3855
What was not affected by a number of elemental influences?,"The Dominican Order was affected by a number of elemental influences. Its early members imbued the order with a mysticism and learning. The Europeans of the order embraced ecstatic mysticism on a grand scale and looked to a union with the Creator. The English Dominicans looked for this complete unity as well, but were not so focused on ecstatic experiences. Instead, their goal was to emulate the moral life of Christ more completely. The Dartford nuns were surrounded by all of these legacies, and used them to create something unique. Though they are not called mystics, they are known for their piety toward God and their determination to live lives devoted to, and in emulation of, Him.",The answer is: Time.,Nothing.,2.386,1.9026
What can long terminal repeats produce?,"Retrotransposons can be transcribed into RNA, which are then duplicated at another site into the genome. Retrotransposons can be divided into Long terminal repeats (LTRs) and Non-Long Terminal Repeats (Non-LTR).",Long terminal repeats (LTRs) are a type of retrotransposon that can produce retroviral genomes.,Long terminal repeats (LTRs) can produce retroviral genomes.,0.8063,0.7168
What was the X3.2 based on?,"The X3.2 subcommittee designed ASCII based on the earlier teleprinter encoding systems. Like other character encodings, ASCII specifies a correspondence between digital bit patterns and character symbols (i.e. graphemes and control characters). This allows digital devices to communicate with each other and to process, store, and communicate character-oriented information such as written language. Before ASCII was developed, the encodings in use included 26 alphabetic characters, 10 numerical digits, and from 11 to 25 special graphic symbols. To include all these, and control characters compatible with the Comité Consultatif International Téléphonique et Télégraphique (CCITT) International Telegraph Alphabet No. 2 (ITA2) standard, Fieldata, and early EBCDIC, more than 64 codes were required for ASCII.",I don't have information on what the X3.2 is based on.,The X3.2 subcommittee was based on earlier teleprinter encoding systems.,0.5873,0.2765
What is the benefit to chickens of being in a caged location?,"In free-range husbandry, the birds can roam freely outdoors for at least part of the day. Often, this is in large enclosures, but the birds have access to natural conditions and can exhibit their normal behaviours. A more intensive system is yarding, in which the birds have access to a fenced yard and poultry house at a higher stocking rate. Poultry can also be kept in a barn system, with no access to the open air, but with the ability to move around freely inside the building. The most intensive system for egg-laying chickens is battery cages, often set in multiple tiers. In these, several birds share a small cage which restricts their ability to move around and behave in a normal manner. The eggs are laid on the floor of the cage and roll into troughs outside for ease of collection. Battery cages for hens have been illegal in the EU since January 1, 2012.","Chickens in a caged location can benefit from:

1. Protection from predators
2. Reduced risk of disease transmission
3. Better control over food and water intake
4. Reduced stress due to reduced exposure to the elements
5. Improved egg production and overall health due to a more stable environment.",The benefit to chickens of being in a caged location is that it allows for easier egg collection.,1.2393,0.8172
How many schools isn't Yale composed of?,"Yale is organized into fourteen constituent schools: the original undergraduate college, the Yale Graduate School of Arts and Sciences, and twelve professional schools. While the university is governed by the Yale Corporation, each school's faculty oversees its curriculum and degree programs. In addition to a central campus in downtown New Haven, the University owns athletic facilities in western New Haven, including the Yale Bowl, a campus in West Haven, Connecticut, and forest and nature preserves throughout New England. The university's assets include an endowment valued at $25.6 billion as of September 2015, the second largest of any educational institution.The Yale University Library, serving all constituent schools, holds more than 15 million volumes and is the third-largest academic library in the United States.",Yale University is composed of 12 schools.,Three.,0.9468,0.9477
Who learned arithmatic by the age of 10?,"According to his autobiography, Avicenna had memorised the entire Quran by the age of 10. He learned Indian arithmetic from an Indian greengrocer,ءMahmoud Massahi and he began to learn more from a wandering scholar who gained a livelihood by curing the sick and teaching the young. He also studied Fiqh (Islamic jurisprudence) under the Sunni Hanafi scholar Ismail al-Zahid. Avicenna was taught some extent of philosophy books such as Introduction (Isagoge)'s Porphyry (philosopher), Euclid's Elements, Ptolemy's Almagest by an unpopular philosopher, Abu Abdullah Nateli, who claimed philosophizing.",I don't have any information about a specific person who learned arithmetic by the age of 10.,Avicenna,0.6822,0.7828
What did Charles James Fox translate?,"Louis XVI translated the Reflections ""from end to end"" into French. Fellow Whig MPs Richard Sheridan and Charles James Fox, disagreed with Burke and split with him. Fox thought the Reflections to be ""in very bad taste"" and ""favouring Tory principles"". Other Whigs such as the Duke of Portland and Earl Fitzwilliam privately agreed with Burke, but did not wish for a public breach with their Whig colleagues. Burke wrote on 29 November 1790: ""I have received from the Duke of Portland, Lord Fitzwilliam, the Duke of Devonshire, Lord John Cavendish, Montagu (Frederick Montagu MP), and a long et cetera of the old Stamina of the Whiggs a most full approbation of the principles of that work and a kind indulgence to the execution"". The Duke of Portland said in 1791 that when anyone criticised the Reflections to him, he informed them that he had recommended the book to his sons as containing the true Whig creed.",I don't have information on what Charles James Fox translated.,Charles James Fox translated the Reflections of the Revolution in France.,0.6109,1.221
What do club Friendly's give team managers a chance to experiment with?,"International friendlies give team managers the opportunity to experiment with team selection and tactics before the tournament proper, and also allow them to assess the abilities of players they may potentially select for the tournament squad. Players can be booked in international friendlies, and can be suspended from future international matches based on red cards or accumulated yellows in a specified period. Caps and goals scored also count towards a player's career records. In 2004, FIFA ruled that substitutions by a team be limited to six per match in international friendlies, in response to criticism that such matches were becoming increasingly farcical with managers making as many as 11 substitutions per match.","In football, a ""friendly"" refers to a match between two teams that are not competing in a formal competition, such as a league or tournament. Friendly matches give team managers a chance to experiment with different lineups, tactics, and player combinations without the pressure of a competitive match.",International friendlies give team managers a chance to experiment with team selection and tactics.,0.7623,0.3024
When did MOSFETs become widely available?,"The bipolar junction transistor (BJT) was the most commonly used transistor in the 1960s and 70s. Even after MOSFETs became widely available, the BJT remained the transistor of choice for many analog circuits such as amplifiers because of their greater linearity and ease of manufacture. In integrated circuits, the desirable properties of MOSFETs allowed them to capture nearly all market share for digital circuits. Discrete MOSFETs can be applied in transistor applications, including analog circuits, voltage regulators, amplifiers, power transmitters and motor drivers.",The MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor) was first invented in 1959 by Mohamed M. Atalla and Dawon Kahng.,MOSFETs became widely available in the 1960s.,0.4884,0.3506
What century marked the formation of Western civilization?,"The classical period of Greek civilization covers a time spanning from the early 5th century BC to the death of Alexander the Great, in 323 BC (some authors prefer to split this period into 'Classical', from the end of the Persian wars to the end of the Peloponnesian War, and 'Fourth Century', up to the death of Alexander). It is so named because it set the standards by which Greek civilization would be judged in later eras. The Classical period is also described as the ""Golden Age"" of Greek civilization, and its art, philosophy, architecture and literature would be instrumental in the formation and development of Western culture.",The 8th century.,The 5th century BC.,0.6996,0.4417
 When was the Chinese War fought?,"The Vietnam War was a war fought between 1959 and 1975 on the ground in South Vietnam and bordering areas of Cambodia and Laos (see Secret War) and in the strategic bombing (see Operation Rolling Thunder) of North Vietnam. American advisors came in the late 1950s to help the RVN (Republic of Vietnam) combat Communist insurgents known as ""Viet Cong."" Major American military involvement began in 1964, after Congress provided President Lyndon B. Johnson with blanket approval for presidential use of force in the Gulf of Tonkin Resolution.","I'm happy to help, but I need more information. There have been many wars fought between China and other countries throughout history. Could you please specify which Chinese War you are referring to?",The Chinese War is not mentioned in the given context.,0.6044,0.76
How many strikes has Yale had since 1986?,"Yale has a history of difficult and prolonged labor negotiations, often culminating in strikes. There have been at least eight strikes since 1968, and The New York Times wrote that Yale has a reputation as having the worst record of labor tension of any university in the U.S. Yale's unusually large endowment exacerbates the tension over wages. Moreover, Yale has been accused of failing to treat workers with respect. In a 2003 strike, however, the university claimed that more union employees were working than striking. Professor David Graeber was 'retired' after he came to the defense of a student who was involved in campus labor issues.",I cannot verify how many strikes Yale has had since 1986.,"Since 1986, there is no information provided about the exact number of strikes at Yale.",0.5393,0.7877
When did Parliament debate the Quebec bill?,"These events and the disagreements that arose from them within the Whig Party, led to its break-up and to the rupture of Burke's friendship with Fox. In debate in Parliament on Britain's relations with Russia, Fox praised the principles of the revolution, although Burke was not able to reply at this time as he was ""overpowered by continued cries of question from his own side of the House"". When Parliament was debating the Quebec Bill for a constitution for Canada, Fox praised the revolution and criticised some of Burke's arguments, such as hereditary power. On 6 May 1791, during another debate in Parliament on the Quebec Bill, Burke used the opportunity to answer Fox, and to condemn the new French Constitution and ""the horrible consequences flowing from the French idea of the Rights of Man"". Burke asserted that those ideas were the antithesis of both the British and the American constitutions. Burke was interrupted, and Fox intervened, saying that Burke should be allowed to carry on with his speech. A vote of censure was moved against Burke, however, for noticing the affairs of France, which was moved by Lord Sheffield and seconded by Fox. Pitt made a speech praising Burke, and Fox made a speech—both rebuking and complimenting Burke. He questioned the sincerity of Burke, who seemed to have forgotten the lessons he had learned from him, quoting from Burke's own speeches of fourteen and fifteen years before.",I don't have enough information to answer your question about the Quebec bill.,The Parliament debated the Quebec Bill on 6 May 1791.,0.7767,0.544
What does a representation of algorithms that decompresses?,"Lossless audio compression produces a representation of digital data that decompress to an exact digital duplicate of the original audio stream, unlike playback from lossy compression techniques such as Vorbis and MP3. Compression ratios are around 50–60% of original size, which is similar to those for generic lossless data compression. Lossless compression is unable to attain high compression ratios due to the complexity of waveforms and the rapid changes in sound forms. Codecs like FLAC, Shorten and TTA use linear prediction to estimate the spectrum of the signal. Many of these algorithms use convolution with the filter [-1 1] to slightly whiten or flatten the spectrum, thereby allowing traditional lossless compression to work more efficiently. The process is reversed upon decompression.",A representation of algorithms that decompresses is called a decompression algorithm.,Lossless audio compression.,0.792,0.6119
In 1973 what did Australia allow?,"The process of making beer is known as brewing. A dedicated building for the making of beer is called a brewery, though beer can be made in the home and has been for much of its history. A company that makes beer is called either a brewery or a brewing company. Beer made on a domestic scale for non-commercial reasons is classified as homebrewing regardless of where it is made, though most homebrewed beer is made in the home. Brewing beer is subject to legislation and taxation in developed countries, which from the late 19th century largely restricted brewing to a commercial operation only. However, the UK government relaxed legislation in 1963, followed by Australia in 1972 and the US in 1978, allowing homebrewing to become a popular hobby.","In 1973, Australia allowed women to serve in the military.","In 1973, Australia allowed homebrewing.",0.9683,0.2024
What controls the voltage applied between the gate and the source terminals?,"In a FET, the drain-to-source current flows via a conducting channel that connects the source region to the drain region. The conductivity is varied by the electric field that is produced when a voltage is applied between the gate and source terminals; hence the current flowing between the drain and source is controlled by the voltage applied between the gate and source. As the gate–source voltage (VGS) is increased, the drain–source current (IDS) increases exponentially for VGS below threshold, and then at a roughly quadratic rate (IGS ∝ (VGS − VT)2) (where VT is the threshold voltage at which drain current begins) in the ""space-charge-limited"" region above threshold. A quadratic behavior is not observed in modern devices, for example, at the 65 nm technology node.",The voltage applied between the gate and the source terminals is controlled by the voltage applied to the gate terminal.,The voltage applied between the gate and the source terminals controls the voltage applied between the gate and the source terminals.,0.6121,0.2779
 How many non-Muslim students are there in Kerala?,"Today, the system of Arabic and Islamic education has grown and further integrated with Kerala government administration. In 2005, an estimated 6,000 Muslim Arabic teachers taught in Kerala government schools, with over 500,000 Muslim students. State-appointed committees, not private mosques or religious scholars outside the government, determine the curriculum and accreditation of new schools and colleges. Primary education in Arabic and Islamic studies is available to Kerala Muslims almost entirely in after-school madrasa programs - sharply unlike full-time madaris common in north India, which may replace formal schooling. Arabic colleges (over eleven of which exist within the state-run University of Calicut and the Kannur University) provide B.A. and Masters' level degrees. At all levels, instruction is co-educational, with many women instructors and professors. Islamic education boards are independently run by the following organizations, accredited by the Kerala state government: Samastha Kerala Islamic Education Board, Kerala Nadvathul Mujahideen, Jamaat-e-Islami Hind, and Jamiat Ulema-e-Hind.",I can't verify the number of non-Muslim students in Kerala.,The text does not provide information on the number of non-Muslim students in Kerala.,0.5773,0.4313
What did Athanasius feel was optional?,"Perhaps, his most notable letter was his Festal Letter, written to his Church in Alexandria when he was in exile, as he could not be in their presence. This letter shows clearly his stand that accepting Jesus is the Divine Son of God is not optional but necessary; ""I know moreover that not only this thing saddens you, but also the fact that while others have obtained the churches by violence, you are meanwhile cast out from your places. For they hold the places, but you the Apostolic Faith. They are, it is true, in the places, but outside of the true Faith; while you are outside the places indeed, but the Faith, within you. Let us consider whether is the greater, the place or the Faith. Clearly the true Faith. Who then has lost more, or who possesses more? He who holds the place, or he who holds the Faith?",I don't have information on what Athanasius felt was optional.,Athanasius felt that accepting Jesus as the Divine Son of God was not optional.,0.482,0.3693
How much was Jerrold Electronics?,"In 1963, Ralph J. Roberts in conjunction with his two business partners, Daniel Aaron and Julian A. Brodsky, purchased American Cable Systems as a corporate spin-off from its parent, Jerrold Electronics, for US $500,000. At the time, American Cable was a small cable operator in Tupelo, Mississippi, with five channels and 12,000 customers. Storecast Corporation of America, a product placement supermarket specialist marketing firm, was purchased by American Cable in 1965. With Storecast being a Muzak client, American Cable purchased its first Muzak franchise of many in Orlando, Florida.","I couldn't find any information on ""Jerrold Electronics"" that would provide a specific price.","$500,000",0.7374,0.3285
What system do Canadian law enforcement agencies use?,"The National Incident Based Reporting System (NIBRS) crime statistics system aims to address limitations inherent in UCR data. The system is used by law enforcement agencies in the United States for collecting and reporting data on crimes. Local, state, and federal agencies generate NIBRS data from their records management systems. Data is collected on every incident and arrest in the Group A offense category. The Group A offenses are 46 specific crimes grouped in 22 offense categories. Specific facts about these offenses are gathered and reported in the NIBRS system. In addition to the Group A offenses, eleven Group B offenses are reported with only the arrest information. The NIBRS system is in greater detail than the summary-based UCR system. As of 2004, 5,271 law enforcement agencies submitted NIBRS data. That amount represents 20% of the United States population and 16% of the crime statistics data collected by the FBI.","In Canada, law enforcement agencies use the Uniform Crime Reporting (UCR) system, which is based on the Uniform Crime Reporting (UCR) Program, a national crime reporting system developed by the Canadian Association of Chiefs of Police (CACP) and the Royal Canadian Mounted Police (RCMP).",The National Incident Based Reporting System (NIBRS),0.6495,0.4256
What is the unit of magnetic properties of the neutron?,"The Bohr magneton and the nuclear magneton are units which are used to describe the magnetic properties of the electron and atomic nuclei respectively. The Bohr magneton is the magnetic moment which would be expected for an electron if it behaved as a spinning charge according to classical electrodynamics. It is defined in terms of the reduced Planck constant, the elementary charge and the electron mass, all of which depend on the Planck constant: the final dependence on h1/2 (r2 > 0.995) can be found by expanding the variables.",The unit of magnetic moment of a neutron is Bohr magneton.,The unit of magnetic properties of the neutron is the nuclear magneton.,0.6119,0.5439
What events did New Zeland hold Samoa responsible for?,"However, Samoans greatly resented New Zealand's colonial rule, and blamed inflation and the catastrophic 1918 flu epidemic on its misrule. By the late 1920s the resistance movement against colonial rule had gathered widespread support. One of the Mau leaders was Olaf Frederick Nelson, a half Samoan and half Swedish merchant. Nelson was eventually exiled during the late 1920s and early 1930s, but he continued to assist the organisation financially and politically. In accordance with the Mau's non-violent philosophy, the newly elected leader, High Chief Tupua Tamasese Lealofi, led his fellow uniformed Mau in a peaceful demonstration in downtown Apia on 28 December 1929.",I couldn't find any information on New Zealand holding Samoa responsible for any specific events.,New Zealand held Samoa responsible for the 1918 flu epidemic.,0.6463,0.4901
What royalty hasn't attended Yale?,"Yale has produced alumni distinguished in their respective fields. Among the best-known are U.S. Presidents William Howard Taft, Gerald Ford, George H. W. Bush, Bill Clinton and George W. Bush; royals Crown Princess Victoria Bernadotte, Prince Rostislav Romanov and Prince Akiiki Hosea Nyabongo; heads of state, including Italian prime minister Mario Monti, Turkish prime minister Tansu Çiller, Mexican president Ernesto Zedillo, German president Karl Carstens, and Philippines president José Paciano Laurel; U.S. Supreme Court Justices Sonia Sotomayor, Samuel Alito and Clarence Thomas; U.S. Secretaries of State John Kerry, Hillary Clinton, Cyrus Vance, and Dean Acheson; authors Sinclair Lewis, Stephen Vincent Benét, and Tom Wolfe; lexicographer Noah Webster; inventors Samuel F. B. Morse and Eli Whitney; patriot and ""first spy"" Nathan Hale; theologian Jonathan Edwards; actors, directors and producers Paul Newman, Henry Winkler, Vincent Price, Meryl Streep, Sigourney Weaver, Jodie Foster, Angela Bassett, Patricia Clarkson, Courtney Vance, Frances McDormand, Elia Kazan, George Roy Hill, Edward Norton, Lupita Nyong'o, Allison Williams, Oliver Stone, Sam Waterston, and Michael Cimino; ""Father of American football"" Walter Camp, James Franco, ""The perfect oarsman"" Rusty Wailes; baseball players Ron Darling, Bill Hutchinson, and Craig Breslow; basketball player Chris Dudley; football players Gary Fencik, and Calvin Hill; hockey players Chris Higgins and Mike Richter; figure skater Sarah Hughes; swimmer Don Schollander; skier Ryan Max Riley; runner Frank Shorter; composers Charles Ives, Douglas Moore and Cole Porter; Peace Corps founder Sargent Shriver; child psychologist Benjamin Spock; architects Eero Saarinen and Norman Foster; sculptor Richard Serra; film critic Gene Siskel; television commentators Dick Cavett and Anderson Cooper; New York Times journalist David Gonzalez; pundits William F. Buckley, Jr., and Fareed Zakaria; economists Irving Fischer, Mahbub ul Haq, and Paul Krugman; cyclotron inventor and Nobel laureate in Physics, Ernest Lawrence; Human Genome Project director Francis S. Collins; mathematician and chemist Josiah Willard Gibbs; and businesspeople, including Time Magazine co-founder Henry Luce, Morgan Stanley founder Harold Stanley, Boeing CEO James McNerney, FedEx founder Frederick W. Smith, Time Warner president Jeffrey Bewkes, Electronic Arts co-founder Bing Gordon, and investor/philanthropist Sir John Templeton; pioneer in electrical applications Austin Cornelius Dunham.",Queen Elizabeth II,Royalty who hasn't attended Yale: None mentioned in the given context.,1.3894,1.0375
What involves encoding information using fewer bits than the channel coding?,"In signal processing, data compression, source coding, or bit-rate reduction involves encoding information using fewer bits than the original representation. Compression can be either lossy or lossless. Lossless compression reduces bits by identifying and eliminating statistical redundancy. No information is lost in lossless compression. Lossy compression reduces bits by identifying unnecessary information and removing it. The process of reducing the size of a data file is referred to as data compression. In the context of data transmission, it is called source coding (encoding done at the source of the data before it is stored or transmitted) in opposition to channel coding.",Channel coding,Source coding.,2.3032,1.1143
What office contains the CIA's administrative offices?,"The FBI is organized into functional branches and the Office of the Director, which contains most administrative offices. An executive assistant director manages each branch. Each branch is then divided into offices and divisions, each headed by an assistant director. The various divisions are further divided into sub-branches, led by deputy assistant directors. Within these sub-branches there are various sections headed by section chiefs. Section chiefs are ranked analogous to special agents in charge.","The Central Intelligence Agency's (CIA) administrative offices are located in Langley, Virginia.",The Office of the Director,0.452,0.9994
What year was it discovered that early LED instruments could be used for radio communication?,"In 1957, Braunstein further demonstrated that the rudimentary devices could be used for non-radio communication across a short distance. As noted by Kroemer Braunstein"".. had set up a simple optical communications link: Music emerging from a record player was used via suitable electronics to modulate the forward current of a GaAs diode. The emitted light was detected by a PbS diode some distance away. This signal was fed into an audio amplifier, and played back by a loudspeaker. Intercepting the beam stopped the music. We had a great deal of fun playing with this setup."" This setup presaged the use of LEDs for optical communication applications.",I can't verify when early LED instruments were used for radio communication.,1957,0.8933,0.5748
Which President disallowed Tsimshian settlers to inhabit Annette Island?,"Numerous indigenous peoples occupied Alaska for thousands of years before the arrival of European peoples to the area. Linguistic and DNA studies done here have provided evidence for the settlement of North America by way of the Bering land bridge.[citation needed] The Tlingit people developed a society with a matrilineal kinship system of property inheritance and descent in what is today Southeast Alaska, along with parts of British Columbia and the Yukon. Also in Southeast were the Haida, now well known for their unique arts. The Tsimshian people came to Alaska from British Columbia in 1887, when President Grover Cleveland, and later the U.S. Congress, granted them permission to settle on Annette Island and found the town of Metlakatla. All three of these peoples, as well as other indigenous peoples of the Pacific Northwest Coast, experienced smallpox outbreaks from the late 18th through the mid-19th century, with the most devastating epidemics occurring in the 1830s and 1860s, resulting in high fatalities and social disruption.",I cannot verify which president disallowed Tsimshian settlers to inhabit Annette Island.,President Grover Cleveland,0.5157,0.7982
What type of oils does Canadian bitumen differ substantially from?,"Canadian bitumen does not differ substantially from oils such as Venezuelan extra-heavy and Mexican heavy oil in chemical composition, and the real difficulty is moving the extremely viscous bitumen through oil pipelines to the refinery. Many modern oil refineries are extremely sophisticated and can process non-upgraded bitumen directly into products such as gasoline, diesel fuel, and refined asphalt without any preprocessing. This is particularly common in areas such as the US Gulf coast, where refineries were designed to process Venezuelan and Mexican oil, and in areas such as the US Midwest where refineries were rebuilt to process heavy oil as domestic light oil production declined. Given the choice, such heavy oil refineries usually prefer to buy bitumen rather than synthetic oil because the cost is lower, and in some cases because they prefer to produce more diesel fuel and less gasoline. By 2015 Canadian production and exports of non-upgraded bitumen exceeded that of synthetic crude oil at over 1.3 million barrels (210×10^3 m3) per day, of which about 65% was exported to the United States.",Canadian bitumen differs substantially from crude oil.,Canadian bitumen differs substantially from oils such as Venezuelan extra-heavy and Mexican heavy oil in terms of viscosity.,0.9585,0.5006
Where did Chen live in 2007?,"According to a story that has often been repeated in the media, Hurley and Chen developed the idea for YouTube during the early months of 2005, after they had experienced difficulty sharing videos that had been shot at a dinner party at Chen's apartment in San Francisco. Karim did not attend the party and denied that it had occurred, but Chen commented that the idea that YouTube was founded after a dinner party ""was probably very strengthened by marketing ideas around creating a story that was very digestible"".",I don't have enough information to determine where Chen lived in 2007.,Chen's apartment in San Francisco.,0.3397,0.3078
Which countries initiated the Peace of Westphalia following the Reconquista?,"The Reconquista of Portugal and Spain led to a series of oceanic explorations resulting in the Age of Discovery that established direct links with Africa, the Americas, and Asia, while religious wars continued to be fought in Europe, which ended in 1648 with the Peace of Westphalia. The Spanish crown maintained its hegemony in Europe and was the leading power on the continent until the signing of the Treaty of the Pyrenees, which ended a conflict between Spain and France that had begun during the Thirty Years' War. An unprecedented series of major wars and political revolutions took place around Europe and indeed the world in the period between 1610 and 1700. Observers at the time, and many historians since, have argued that wars caused the revolutions. Galileo Galilei, invented the telescope and the thermometer which allowed him to observe and describe the solar system. Leonardo da Vinci painted the most famous work in the world. Guglielmo Marconi invented the radio.",The Peace of Westphalia was initiated by the Holy Roman Empire and the Catholic Church.,"The Peace of Westphalia was initiated by the countries of Sweden, the Holy Roman Empire, and the Dutch Republic.",1.0311,1.082
In what year was the liquidation of the Patent Clarmac Company?,"In 1914, Claridge's Company entered into a joint venture to produce tar-bound macadam, with materials manufactured through a subsidiary company called Clarmac Roads Ltd. Two products resulted, namely Clarmac, and Clarphalte, with the former being manufactured by Clarmac Roads and the latter by Claridge's Patent Asphalte Co., although Clarmac was more widely used.[note 1] However, the First World War impacted financially on the Clarmac Company, which entered into liquidation in 1915. The failure of Clarmac Roads Ltd had a flow-on effect to Claridge's Company, which was itself compulsorily wound up, ceasing operations in 1917, having invested a substantial amount of funds into the new venture, both at the outset, and in a subsequent attempt to save the Clarmac Company.",I cannot verify when the liquidation of the Patent Clarmac Company occurred.,The liquidation of the Patent Clarmac Company occurred in 1915.,0.649,0.2822
 When was the non-Canadian Joint Operations Command established?,"The Canadian Joint Operations Command is an operational element established in October 2012 with the merger of Canada Command, the Canadian Expeditionary Force Command and the Canadian Operational Support Command. The new command, created as a response to the cost-cutting measures in the 2012 federal budget, combines the resources, roles and responsibilities of the three former commands under a single headquarters.",I cannot verify when the Joint Operations Command was established.,The Canadian Joint Operations Command was established in October 2012.,0.7494,0.1617
Why did Salvadorans begin an exodus?,"The exodus of Salvadorans was a result of both economic and political problems. The largest immigration wave occurred as a result of the Salvadoran Civil War in the 1980s, in which 20–30% of El Salvador's population emigrated. About 50%, or up to 500,000 of those who escaped headed to the United States, which was already home to over 10,000 Salvadorans, making Salvadorans Americans the fourth-largest Hispanic and Latino American group, after the Mexican-American majority, stateside Puerto Ricans, and Cubans.","Salvadorans began an exodus due to civil war, poverty, and violence.","The Salvadorans began an exodus due to both economic and political problems, specifically the Salvadoran Civil War in the 1980s.",0.9104,0.4047
In what year did Lexmark acquire Kenexa?,"IBM acquired Kenexa (2012) and SPSS (2009) and PwC's consulting business (2002), spinning off companies like printer manufacturer Lexmark (1991), and selling off product lines like its personal computer and x86 server businesses to Lenovo (2005, 2014). In 2014, IBM announced that it would go ""fabless"" by offloading IBM Micro Electronics semiconductor manufacturing to GlobalFoundries, a leader in advanced technology manufacturing, citing that semiconductor manufacturing is a capital-intensive business which is challenging to operate without scale. This transition had progressed as of early 2015[update].",I cannot verify when Lexmark acquired Kenexa.,Lexmark acquired Kenexa in 2012,0.5573,0.5927
What wasn't the combination of Hauptschulen with Realschulen and Gesamtschulen called in Hamburg?,"Starting in 2010/2011, Hauptschulen were merged with Realschulen and Gesamtschulen to form a new type of comprehensive school in the German States of Berlin and Hamburg, called Stadtteilschule in Hamburg and Sekundarschule in Berlin (see: Education in Berlin, Education in Hamburg).",Realschulen,Realschulen,1.2486,1.285
What was the last great German translation?,"The first great English translation was the Wycliffe Bible (ca. 1382), which showed the weaknesses of an underdeveloped English prose. Only at the end of the 15th century did the great age of English prose translation begin with Thomas Malory's Le Morte Darthur—an adaptation of Arthurian romances so free that it can, in fact, hardly be called a true translation. The first great Tudor translations are, accordingly, the Tyndale New Testament (1525), which influenced the Authorized Version (1611), and Lord Berners' version of Jean Froissart's Chronicles (1523–25).",I can't verify what the last great German translation is.,The Tyndale New Testament (1525),1.167,0.3839
