context,question,golden_answer,our_answer_wo_context,our_answer_w_context
"Area code 604 is a telephone area code that serves southwestern British Columbia : the Lower Mainland , Sunshine Coast , Howe Sound / Sea to Sky Corridor , Fraser Valley and the lower Fraser Canyon regions . It primarily serves the city of Vancouver and surrounding regions .",where is area code 604 located in usa,British Columbia,Area code 604 is not located in the USA.,It is not located in the USA.
"Lilo & Stitch Theatrical release poster Directed by Chris Sanders Dean DeBlois Produced by Clark Spencer Screenplay by Chris Sanders Dean DeBlois Story by Chris Sanders Starring Chris Sanders Daveigh Chase Tia Carrere David Ogden Stiers Kevin McDonald Ving Rhames Kevin Michael Richardson Jason Scott Lee Zoe Caldwell Music by Alan Silvestri Edited by Darren T. Holmes Production company Walt Disney Pictures Walt Disney Feature Animation Distributed by Buena Vista Pictures Release date June 21 , 2002 ( 2002 - 06 - 21 ) Running time 85 minutes Country United States Language English , Hawaiian Budget $80 million Box office $273.1 million",when did the movie lilo and stitch come out,"June 21 , 2002",Lilo & Stitch (2002),"June 21, 2002"
"Time in Oregon is divided into two zones . The vast majority of the state is contained in the Pacific Time Zone . Most of sparsely populated Malheur County , including its largest city , Ontario , and its county seat , Vale , are in the Mountain Time Zone due to their proximity to Boise , Idaho . The time zone division occurs at the southwest corner of township 35 S , range 37 E ( approximately 42.45 degrees north latitude ) , continuing east to the state line , then south along the Oregon - Idaho border to the Nevada state line .",why is part of oregon in mountain time,"proximity to Boise , Idaho",Historical railroad influence.,Due to proximity to Idaho.
"The Incredibles Theatrical release poster Directed by Brad Bird Produced by John Walker Written by Brad Bird Starring Craig T. Nelson Holly Hunter Sarah Vowell Spencer Fox Jason Lee Samuel L. Jackson Elizabeth Peña Music by Michael Giacchino Cinematography Andrew Jimenez Patrick Lin Janet Lucroy Edited by Stephen Schaffer Production company Walt Disney Pictures Pixar Animation Studios Distributed by Buena Vista Pictures Release date October 27 , 2004 ( 2004 - 10 - 27 ) ( London Film Festival ) November 5 , 2004 ( 2004 - 11 - 05 ) ( United States ) Running time 115 minutes Country United States Language English Budget $92 million Box office $633 million",when did the movie the incredibles come out,"November 5 , 2004",The Incredibles (2004),"October 27, 2004"
"Fairmont Royal York The hotel with Union Station in foreground Wikimedia © OpenStreetMap Former names Royal York ( 1929 -- 2001 ) Record height Tallest in British Empire from 1929 to 1931 Preceded by Royal Bank Tower Surpassed by Canadian Bank of Commerce Tower General information Architectural style Châteauesque Location 100 Front Street West Toronto , Ontario M5J 1E3 Coordinates 43 ° 38 ′ 46 '' N 79 ° 22 ′ 54 '' W ﻿ / ﻿ 43.646133 ° N 79.381561 ° W ﻿ / 43.646133 ; - 79.381561 Coordinates : 43 ° 38 ′ 46 '' N 79 ° 22 ′ 54 '' W ﻿ / ﻿ 43.646133 ° N 79.381561 ° W ﻿ / 43.646133 ; - 79.381561 Construction started 1927 Opened 1929 Owner KingSett Capital Inc. ( 60 % ) InnVest Hotels LP ( 20 % ) Ivanhoé Cambridge ( 20 % ) Management Fairmont Hotels and Resorts Height 124 m ( 407 ft ) Technical details Floor count 28 Design and construction Architecture firm Ross and Macdonald ; Sproatt and Rolph Developer Canadian Pacific Railway Other information Number of rooms 1,363 Number of restaurants Website www.fairmont.com/royalyork Ontario Heritage Act Official name Union Station Heritage Conservation District Designated 27 February 2006 ( 2006 - 02 - 27 )",how many rooms in the royal york hotel,"1,363","The Royal York Hotel in Toronto has 1,100 rooms.","1,363 rooms."
"Mughal Empire گورکانیان ( Persian ) Gūrkāniyān مغلیہ سلطنت ‎ ( Urdu ) Mug̱liyah Salṭanat 1526 -- 1540 1555 -- 1857 The empire at its greatest extent , in the late 17th and early 18th centuries Capital Agra ( 1526 -- 1540 ; 1555 -- 1571 ; 1598 -- 1648 ) Fatehpur Sikri ( 1571 -- 1585 ) Lahore ( May 1586 -- 1598 ) Shahjahanabad , Delhi ( 1648 -- 1857 ) Languages Persian ( official and court language ) Arabic ( for religious ceremonies ) Chagatai Turkic ( only initially ) Urdu ( Language of the elite , later made official ) Other South Asian languages Religion Sunni Islam ( 1526 -- 1857 ) Din - i Ilahi ( 1582 -- 1605 ) Government Absolute monarchy , unitary state with federal structure , centralized autarchy Emperor 1526 -- 1530 Babur ( first ) 1837 -- 1857 Bahadur Shah II ( last ) Historical era Early modern First Battle of Panipat 21 April 1526 Empire interrupted by Sur Empire 1540 -- 1555 Death of Aurangzeb 3 March 1707 Siege of Delhi 21 September 1857 Area 1690 4,000,000 km ( 1,500,000 sq mi ) Population 1700 est . 158,400,000 Currency Rupee , dam Preceded by Succeeded by Delhi Sultanate Rajput states Bengal Sultanate Deccan sultanates Maratha Empire Bengal Subah Durrani Empire Sikh Confederacy Company rule in India British Raj",what were the 2 dominant religions in mughal india,Sunni Islam ( 1526 -- 1857 ) Din - i Ilahi,Islam and Hinduism.,Sunni Islam and Din-i Ilahi.
"Houston Astros 2017 Houston Astros season Established in 1962 Team logo Cap insignia Major league affiliations American League ( 2013 -- present ) West Division ( 2013 -- present ) National League ( 1962 -- 2012 ) Central Division ( 1994 -- 2012 ) West Division ( 1969 -- 1993 ) Current uniform Retired numbers 5 7 24 25 32 33 34 40 49 42 Colors Navy blue , orange , white Name Houston Astros ( 1965 -- present ) Houston Colt . 45s ( 1962 -- 1964 ) Other nicknames ' Stros Ballpark Minute Maid Park ( 2000 -- present ) Astrodome ( 1965 -- 1999 ) Colt Stadium ( 1962 -- 1964 ) Major league titles World Series titles ( 1 ) 2017 AL Pennants ( 1 ) 2017 NL Pennants ( 1 ) 2005 AL West Division titles ( 1 ) 2017 NL West / Central Division titles ( 6 ) 1980 1986 1997 1998 1999 2001 Wild card berths ( 3 ) 2005 2015 The Astros also qualified for the postseason in the strike - split 1981 season , losing to the Los Angeles Dodgers in the NLDS . Front office Owner ( s ) Jim Crane Manager A.J. Hinch General Manager Jeff Luhnow President of Baseball Operations Reid Ryan",when was the last time that the houston astros won the world series,2017,2017 World Series,2017.
"Capital punishment in Canada dates back to Canada 's earliest history , including its period as a French colony and , after 1763 , its time as a British colony . From 1867 to the elimination of the death penalty for murder on July 14 , 1976 , 1,481 people had been sentenced to death , and 710 had been executed . Of those executed , 697 were men and 13 were women . The only method used in Canada for capital punishment of civilians after the end of the French regime was hanging . The last execution in Canada was the double hanging of Arthur Lucas and Ronald Turpin on December 11 , 1962 , at Toronto 's Don Jail .",who was the last person to get hung in canada,Arthur Lucas and Ronald Turpin,John George Haigh,Arthur Lucas and Ronald Turpin.
"Michael Jordan Jordan in 2014 Charlotte Hornets Position Owner League NBA ( 1963 - 02 - 17 ) February 17 , 1963 ( age 55 ) Brooklyn , New York Nationality American Listed height 6 ft 6 in ( 1.98 m ) Listed weight 216 lb ( 98 kg ) Career information High school Emsley A. Laney ( Wilmington , North Carolina ) College North Carolina ( 1981 -- 1984 ) NBA draft 1984 / Round : 1 / Pick : 3rd overall Selected by the Chicago Bulls Playing career 1984 -- 1993 , 1995 -- 1998 , 2001 -- 2003 Position Shooting guard Number 23 , 45 , 12 Career history 1984 -- 1993 , 1995 -- 1998 Chicago Bulls 2001 -- 2003 Washington Wizards Career highlights and awards 6 × NBA champion ( 1991 -- 1993 , 1996 -- 1998 ) 6 × NBA Finals MVP ( 1991 -- 1993 , 1996 -- 1998 ) 5 × NBA Most Valuable Player ( 1988 , 1991 , 1992 , 1996 , 1998 ) 14 × NBA All - Star ( 1985 -- 1993 , 1996 -- 1998 , 2002 , 2003 ) 3 × NBA All - Star Game MVP ( 1988 , 1996 , 1998 ) 10 × All - NBA First Team ( 1987 -- 1993 , 1996 -- 1998 ) All - NBA Second Team ( 1985 ) NBA Defensive Player of the Year ( 1988 ) 9 × NBA All - Defensive First Team ( 1988 -- 1993 , 1996 -- 1998 ) NBA Rookie of the Year ( 1985 ) NBA All - Rookie First Team ( 1985 ) 10 × NBA scoring champion ( 1987 -- 1993 , 1996 -- 1998 ) 3 × NBA steals leader ( 1988 , 1990 , 1993 ) 2 × NBA Slam Dunk Contest champion ( 1987 , 1988 ) 3 × AP Athlete of the Year ( 1991 , 1992 , 1993 ) 2 × USA Basketball Male Athlete of the Year ( 1983 , 1984 ) Sports Illustrated Sportsperson of the Year ( 1991 ) NBA 's 50th Anniversary All - Time Team NCAA champion ( 1982 ) National college player of the year ( 1984 ) ACC Player of the Year ( 1984 ) ACC Rookie of the Year ( 1982 ) 2 × Consensus first - team All - American ( 1983 , 1984 ) 2 × First - team All - ACC ( 1983 , 1984 ) No. 23 retired by Chicago Bulls No. 23 retired by Miami Heat No. 23 retired by the University of North Carolina Career statistics Points 32,292 ( 30.1 ppg ) Rebounds 6,672 ( 6.2 rpg ) Assists 5,633 ( 5.3 apg ) Stats at Basketball-Reference.com Basketball Hall of Fame as player FIBA Hall of Fame as player Medals ( hide ) Men 's Basketball Representing the United States Olympic Games 1984 Los Angeles Men 's basketball 1992 Barcelona Men 's basketball FIBA Americas Championship 1992 Portland Men 's basketball Pan American Games 1983 Caracas Men 's basketball",what was jordan's last year with the bulls,1998,1998-1999,1998
"In physical geography , a dune is a hill of loose sand built by aeolian processes ( wind ) or the flow of water . Dunes occur in different shapes and sizes , formed by interaction with the flow of air or water . Most kinds of dunes are longer on the stoss ( upflow ) side , where the sand is pushed up the dune , and have a shorter `` slip face '' in the lee side . The valley or trough between dunes is called a slack . A `` dune field '' or erg is an area covered by extensive dunes .",what are the two sides of a sand dune,"stoss ( upflow ) side , where the sand is pushed up the dune , and have a shorter `` slip face '' in the lee side",Windward and leeward sides.,Stoss and lee.
"Accountant General of the Federation of Nigeria Flag of the Federal Republic of Nigeria Incumbent Ahmed Idris since June 25 , 2015 ( 2015 - 06 - 25 ) Accounting Style Mr. Accountant General Member of Federal Ministry of Finance Residence Treasury House S.L.A Blvd , P.M.B 7015 , Garki II , Abuja , FCT , Nigeria Appointer President of Nigeria ( Muhammadu Buhari ) Term length Four years renewable once Constituting instrument Constitution of Nigeria Formation Website Official Website",office of the accountant general of the federation central,"Treasury House S.L.A Blvd , P.M.B 7015 , Garki II , Abuja , FCT , Nigeria",Office of the Accountant General of the Federation (OAGF) Central,Headquarters: Treasury House S.L.A Blvd
"Battle of Dunkirk Part of the Battle of France in the Second World War British soldiers on the beaches under heavy strafing by German aircraft Date 26 May -- 4 June 1940 Location Dunkirk , France Result German tactical victory Success of Operation Dynamo Allies evacuate approx. 85 % of stranded troops Territorial changes Allied forces withdraw to Britain Belligerents United Kingdom British India France Morocco Poland Belgium Canada Netherlands Germany Commanders and leaders Lord Gort Maxime Weygand Georges Blanchard René Prioux J.M. Abrial Gerd von Rundstedt Ewald von Kleist ( Panzergruppe von Kleist ) Strength approx . 400,000 338,226 evacuated approx . 800,000 Casualties and losses ( Estimated ) 61,774 total killed and wounded British ~ 3,500 killed during the evacuation 63,879 vehicles including tanks and motorcycles 2,472 field guns 6 destroyers 23 destroyers damaged 89 transport ships 177 aircraft destroyed or damaged in total 127 belonged to RAF Fighter Command . French 35,000 captured 3 destroyers ( Estimated ) 20,000 killed and wounded 100 tanks 240 aircraft in theatre 156 aircraft on Dunkirk front Civilian casualties : 1,000 civilians killed during air raids",who was involved in the battle of dunkirk,United Kingdom British India France Morocco Poland Belgium Canada Netherlands Germany,"**Allied Forces:**

1. British Expeditionary Force (BEF)
2. French Army
3. Polish Army
4. Belgian Army
5. Royal","Here are the answers:

1. Who was involved in the Battle of Dunkirk?
- United Kingdom
- British India
- France
- Morocco
- Poland
"
"Walnut Grove , Minnesota City U.S. Post Office , First State Bank Building , and water tower in Walnut Grove Location of Walnut Grove , Minnesota Coordinates : 44 ° 13 ′ 25 '' N 95 ° 28 ′ 8 '' W ﻿ / ﻿ 44.22361 ° N 95.46889 ° W ﻿ / 44.22361 ; - 95.46889 Coordinates : 44 ° 13 ′ 25 '' N 95 ° 28 ′ 8 '' W ﻿ / ﻿ 44.22361 ° N 95.46889 ° W ﻿ / 44.22361 ; - 95.46889 Country United States State Minnesota County Redwood Founded 1874 Incorporated 1879 Area Total 1.06 sq mi ( 2.75 km ) Land 1.06 sq mi ( 2.75 km ) Water 0 sq mi ( 0 km ) Elevation 1,217 ft ( 371 m ) Population ( 2010 ) Total 871 Estimate ( 2016 ) 813 Density 820 / sq mi ( 320 / km ) Time zone Central ( CST ) ( UTC - 6 ) Summer ( DST ) CDT ( UTC - 5 ) ZIP code 56180 Area code ( s ) 507 FIPS code 27 - 67846 GNIS feature ID 0653743",what's the population of walnut grove minnesota,871,"Population of Walnut Grove, Minnesota: 1,444 (2020 census)","As of 2010, the population of Walnut Grove, Minnesota is 871."
"Nettles or Nettle is a locational surname of British origin , which means a person from a place overgrown with nettles . The name may refer to :",where did the last name nettles come from,"locational surname of British origin , which means a person from a place overgrown with nettles","Origin: England, 13th century",It originated from a place overgrown with nettles.
My Little Pony My Little Pony logo as of 2017 Created by Bonnie Zacherle Original work My Pretty Pony toys ( 1981 ) Owner Hasbro Official website mylittlepony.hasbro.com,when did the original my little pony come out,1981,"My Little Pony: Generation 1, 1981.",1981
"Volcán de Colima Volcán de Colima is on the left with Nevado de Colima on the right . Highest point Elevation 3820 + m ( 12,533 + ft ) Prominence 600 m ( 2,000 ft ) Listing North America highest peak 60th North America prominent 25th North America isolated peak 46th Mexico highest major peaks Coordinates 19 ° 30 ′ 46 '' N 103 ° 37 ′ 02 '' W ﻿ / ﻿ 19.512727 ° N 103.617241 ° W ﻿ / 19.512727 ; - 103.617241 Coordinates : 19 ° 30 ′ 46 '' N 103 ° 37 ′ 02 '' W ﻿ / ﻿ 19.512727 ° N 103.617241 ° W ﻿ / 19.512727 ; - 103.617241 Geography Volcán de Colima Location in Mexico Location Jalisco / Colima , Mexico Parent range Trans - Mexican Volcanic Belt Geology Age of rock 5 million years Mountain type Stratovolcano Volcanic arc / belt Trans - Mexican Volcanic Belt Last eruption 2013 to 2018 ( ongoing )",when was the last time the colima volcano erupted,2013 to 2018 ( ongoing ),Colima Volcano last erupted: 2022,2013 to 2018.
"`` Escape ( The Piña Colada Song ) '' Single by Rupert Holmes from the album Partners in Crime B - side `` Drop It '' Released September 21 , 1979 Format 7 '' Recorded 1979 Genre Soft rock Length 4 : 35 ( album version ) 3 : 50 ( single version ) Label Infinity Records Songwriter ( s ) Rupert Holmes Producer ( s ) Rupert Holmes , Jim Boyer Rupert Holmes singles chronology `` Let 's Get Crazy Tonight '' ( 1978 ) `` Escape ( The Piña Colada Song ) '' ( 1979 ) `` Him '' ( 1980 ) `` Let 's Get Crazy Tonight '' ( 1978 ) `` Escape ( The Piña Colada Song ) '' ( 1979 ) `` Him '' ( 1980 )",when was if you like pina coladas written,1979,Written in 1979,I do not know.
"Electric discharge in gases occurs when electric current flows through a gaseous medium due to ionization of the gas . Depending on several factors , the discharge may radiate visible light . The properties of electric discharges in gases are studied in connection with design of lighting sources and in the design of high voltage electrical equipment .",why does a gas show a colour only when electricity is passed through the discharge tube,due to ionization of the gas,Ionization of gas.,Ionization of gas.
"Leatherface Theatrical release poster Directed by Julien Maury Alexandre Bustillo Produced by Christa Campbell Lati Grobman Carl Mazzocone Les Weldon Screenplay by Seth M. Sherwood Based on Characters by Tobe Hooper Kim Henkel Starring Stephen Dorff Lili Taylor Music by John Frizzell Cinematography Antoine Sanier Edited by Sebastien De Sainte Croixe Josh Ethier Production company Campbell Grobman Films Mainline Pictures Millennium Films Distributed by Lionsgate Films Release date August 25 , 2017 ( 2017 - 08 - 25 ) ( Leicester Square ) October 20 , 2017 ( 2017 - 10 - 20 ) ( United States ) Running time 90 minutes Country United States Language English Box office $854,626",when does the new leatherface come out in theaters,"October 20 , 2017","I couldn't find any information about a new ""Leatherface"" movie release.",I do not know.
"Albedo ( / ælˈbiːdoʊ / ) ( Latin : albedo , meaning `` whiteness '' ) is the measure of the diffuse reflection of solar radiation out of the total solar radiation received by an astronomical body ( e.g. a planet like Earth ) . It is dimensionless and measured on a scale from 0 ( corresponding to a black body that absorbs all incident radiation ) to 1 ( corresponding to a body that reflects all incident radiation ) .",what is the term for the percentage of light reflected by something,Albedo,Albedo,Albedo
"Classical Greece was a period of around 200 years ( 5th and 4th centuries BC ) in Greek culture . This Classical period saw the annexation of much of modern - day Greece by the Persian Empire and its subsequent independence . Classical Greece had a powerful influence on the Roman Empire and on the foundations of western civilization . Much of modern Western politics , artistic thought ( architecture , sculpture ) , scientific thought , theatre , literature , and philosophy derives from this period of Greek history . In the context of the art , architecture , and culture of Ancient Greece , the Classical period corresponds to most of the 5th and 4th centuries BC ( the most common dates being the fall of the last Athenian tyrant in 510 BC and the death of Alexander the Great in 323 BC ) . The Classical period in this sense follows the Archaic period and is in turn succeeded by the Hellenistic period .",what was the classical period in ancient greece,a period of around 200 years ( 5th and 4th centuries BC ) in Greek culture,"Classical Period in Ancient Greece:
- Dates: 479-323 BCE
- Characterized by: Golden Age of Athens
- Notable figures: Pericles,",A period of 200 years (5th and 4th centuries BC) in Greek culture.
"`` Up on the House Top '' is a Christmas song written by Benjamin Hanby in 1864 . It has been recorded by a multitude of singers , most notably Gene Autry in 1953 .",who wrote the song up on the housetop,Benjamin Hanby,Traditional English carol,Benjamin Hanby
"U.S. Route 40 National Road Victory Highway Route information Length 2,285.74 mi ( 3,678.54 km ) Existed 1926 -- present Major junctions West end I ‐ 80 / US 189 in Silver Summit , UT I ‐ 25 in Denver , CO I ‐ 35 in Kansas City , MO I ‐ 55 / I ‐ 64 / I ‐ 70 in East St. Louis , IL I ‐ 57 in Effingham , IL I ‐ 65 / I ‐ 69 / I ‐ 70 / I ‐ 74 in Indianapolis , IN I ‐ 75 near Dayton , OH I ‐ 77 in Cambridge , OH I ‐ 79 in Washington , PA I ‐ 81 in Hagerstown , MD I ‐ 95 in Baltimore , MD East end US 322 in Atlantic City , NJ Location States Utah , Colorado , Kansas , Missouri , Illinois , Indiana , Ohio , West Virginia , Pennsylvania , Maryland , Delaware , New Jersey Highway system United States Numbered Highway System List Special Divided Replaced ← K - 39 KS K - 41 → ← Route 39 MO Route 41 → ← I - 39 IL IL 40 → ← SR 39 IN US 41 → ← SR 39 OH SR 40 →",where does us highway 40 begin and end,"Silver Summit , UT I ‐ 25 in Denver , CO I ‐ 35 in Kansas City , MO I ‐ 55 / I ‐ 64 / I ‐ 70 in East St. Louis , IL I ‐ 57 in Effingham , IL I ‐ 65 / I ‐ 69 / I ‐ 70 / I ‐ 74 in Indianapolis , IN I ‐ 75 near Dayton , OH I ‐ 77 in Cambridge , OH I ‐ 79 in Washington , PA I ‐ 81 in Hagerstown , MD I ‐ 95 in Baltimore , MD East end US 322 in Atlantic City , NJ","US-40 begins: Atlantic City, New Jersey
US-40 ends: Newport, Oregon","West end: I-80/US 189 in Silver Summit, UT
East end: US 322 in Atlantic City, NJ"
"This list includes music artists with claims of 75 million or more record sales . The artists in the following tables are listed with both their claimed sales figure along with their total of certified units and are ranked in descending order , with the artist with the highest amount of claimed sales at the top . If two or more artists have the same claimed sales , they are then ranked by certified units . The claimed sales figure and the total of certified units ( for each country ) within the provided sources include sales of albums , singles , compilation - albums , music videos as well as downloads of singles and full - length albums . Sales figures , such as those from Soundscan , which are sometimes published by Billboard magazine , have not been included in the certified units column . As of 2017 , based on both sales claims and certified units , The Beatles are considered the highest - selling band . Elvis Presley is considered the highest - selling individual artist based on sales claims and Rihanna is the highest - selling individual artist based on certified units .",who is the top selling female artist of all time,Rihanna,Whitney Houston,I do not know.
"A decade is a period of ten years . The word is derived ( via French and Latin ) from the Ancient Greek : δεκάς ( / ðɛkˈɑːs / , transliteration = dekas ) , which means a group of ten . Other words for spans of years also come from Latin : biennium ( 2 years ) , triennium ( 3 years ) , quadrennium ( 4 years ) , lustrum ( 5 years ) , century ( 100 years ) , millennium ( 1000 years ) .",1 decade is equal to how many years,ten years,10 years,Ten years.
"The Major League Baseball ( MLB ) season schedule consists of 162 games for each of the 30 teams in the American League ( AL ) and National League ( NL ) , played over approximately six months -- a total of 2,430 games , plus the postseason . The regular season runs from late March / early April to late September / early October , followed by the postseason which can run to early November . The season begins with the official Opening Day , and , as of 2018 , runs 261⁄2 weeks through the last Sunday of September or first Sunday of October . One or more International Opener games may be scheduled outside the United States before the official Opening Day . It is possible for a given team to play a maximum of 20 games in the postseason in a given year , provided the team is a wild card and advances to each of the Division Series , Championship Series , and World Series with each series going the distance ( 5 games in the Division Series , 7 games each in the League Championship Series / World Series ) .",how many games does the mlb play in a season,"2,430 games , plus the postseason",162 games.,"2,430 games."
"Harassment covers a wide range of behaviors of an offensive nature . It is commonly understood as behavior that demeans , humiliates or embarrasses a person , and it is characteristically identified by its unlikelihood in terms of social and moral reasonableness . In the legal sense , these are behaviors that appear to be disturbing , upsetting or threatening . It evolves from discriminatory grounds , and has an effect of nullifying or impairing a person from benefiting their rights . When this behaviors become repetitive it is defined as bullying . Sexual harassment refers to persistent and unwanted sexual advances even after gently refusing , typically in the workplace , where the consequences are potentially very disadvantageous to the victim if there is a power imbalance between the perpetuator .",what is the definition of the word harassment,"behavior that demeans , humiliates or embarrasses a person","Harassment: Unwanted, repeated behavior.",Behavior of an offensive nature.
"Mission San Carlos Borromeo de Carmelo The façade of the capilla ( chapel ) at Mission San Carlos Borromeo de Carmelo . Location in the Monterey Peninsula Location 3080 Rio Rd. Carmel - by - the - Sea , California , 93923 Coordinates 36 ° 32 ′ 34 '' N 121 ° 55 ′ 7 '' W ﻿ / ﻿ 36.54278 ° N 121.91861 ° W ﻿ / 36.54278 ; - 121.91861 Coordinates : 36 ° 32 ′ 34 '' N 121 ° 55 ′ 7 '' W ﻿ / ﻿ 36.54278 ° N 121.91861 ° W ﻿ / 36.54278 ; - 121.91861 Name as founded La Misión San Carlos Borromeo del Río Carmelo English translation The Mission of Saint Charles Borromeo of the Carmel River Patron Saint Charles Borromeo Nickname ( s ) `` Father of the Alta California Missions '' Founding date June 3 , 1770 Founding priest ( s ) Father Presidente Junípero Serra Founding Order Second Headquarters of the Alta California Mission System 1771 -- 1815 ; 1819 -- 1824 ; 1827 -- 1830 Military district Third Native tribe ( s ) Spanish name ( s ) Esselen , Ohlone Costeño Native place name ( s ) Ekheya Baptisms 3,827 Marriages 1,032 Burials 2,837 Secularized 1834 Returned to the Church 1859 Governing body Roman Catholic Diocese of Monterey Current use Parish Church / Minor Basilica U.S. National Register of Historic Places Official name : Carmel Mission Designated October 15 , 1966 Reference no . 66000214 U.S. National Historic Landmark Designated October 9 , 1960 California Historical Landmark Reference no . 135 Website http://carmelmission.org",what does mission san carlos borromeo de carmelo mean in english,The Mission of Saint Charles Borromeo of the Carmel River,Mission San Carlos Borromeo de Carmelo,"""Mission San Carlos Borromeo de Carmelo"" translates to ""The Mission of Saint Charles Borromeo of the Carmel River""."
`` The Fighter '' Single by Keith Urban featuring Carrie Underwood from the album Ripcord Released 6 February 2017 ( 2017 - 02 - 06 ) Format Digital download Recorded 2016 Genre Country pop Dance - pop Synth - Pop Length 3 : 04 Label Hit Red Capitol Nashville Songwriter ( s ) Keith Urban busbee Producer ( s ) Keith Urban busbee Keith Urban singles chronology `` Blue Ai n't Your Color '' ( 2016 ) `` The Fighter '' ( 2017 ) `` Female '' ( 2017 ) `` Blue Ai n't Your Color '' ( 2016 ) `` The Fighter '' ( 2017 ) `` Female '' ( 2017 ) Carrie Underwood singles chronology `` Dirty Laundry '' ( 2016 ) Dirty Laundry 2016 `` The Fighter '' ( 2017 ) The Fighter2017 `` The Champion '' ( 2018 ) The Champion 2018,who wrote the song the fighter by keith urban,Keith Urban busbee,"Keith Urban - ""The Fighter""",Keith Urban and busbee.
"Stromatolites ( / stroʊˈmætəlaɪts , strə - / ) or stromatoliths ( from Greek στρῶμα strōma `` layer , stratum '' ( GEN στρώματος strōmatos ) , and λίθος lithos `` rock '' ) are layered mounds , columns , and sheet - like sedimentary rocks that were originally formed by the growth of layer upon layer of cyanobacteria , a single - celled photosynthesizing microbe . Fossilized stromatolites , some of which may date from 3.7 billion years ago , provide records of ancient life on Earth . Lichen stromatolites are a proposed mechanism of formation of some kinds of layered rock structure that are formed above water , where rock meets air , by repeated colonization of the rock by endolithic lichens .",stromatolites found in western australia are are produced by which organism,cyanobacteria,Cyanobacteria,Cyanobacteria.
"Utah Jazz 2017 -- 18 Utah Jazz season Conference Western Division Northwest Founded History New Orleans Jazz 1974 -- 1979 Utah Jazz 1979 -- present Arena Vivint Smart Home Arena Location Salt Lake City , Utah Team colors Navy , gold , green Main sponsor Qualtrics President Steve Starks General manager Dennis Lindsey Head coach Quin Snyder Ownership Jazz Basketball Investors , Inc. ( represented by Gail Miller , widow of Larry H. Miller ) Affiliation ( s ) Salt Lake City Stars Championships 0 Conference titles 2 ( 1997 , 1998 ) Division titles 9 ( 1984 , 1989 , 1992 , 1997 , 1998 , 2000 , 2007 , 2008 , 2017 ) Retired numbers 11 ( 1 , 4 , 7 , 9 , 12 , 14 , 32 , 35 , 53 , 1223 , Microphone ) Website www.nba.com/jazz Uniforms Home Away Third",what are the colors for the utah jazz,"Navy , gold , green","Utah Jazz primary colors: Navy Blue, Gold, and White.","Navy, gold, green."
"The Economic Stimulus Act of 2008 ( Pub. L. 110 -- 185 , 122 Stat. 613 , enacted February 13 , 2008 ) was an Act of Congress providing for several kinds of economic stimuli intended to boost the United States economy in 2008 and to avert a recession , or ameliorate economic conditions . The stimulus package was passed by the U.S. House of Representatives on January 29 , 2008 , and in a slightly different version by the U.S. Senate on February 7 , 2008 . The Senate version was then approved in the House the same day . It was signed into law on February 13 , 2008 by President Bush with the support of both Democratic and Republican lawmakers . The law provides for tax rebates to low - and middle - income U.S. taxpayers , tax incentives to stimulate business investment , and an increase in the limits imposed on mortgages eligible for purchase by government - sponsored enterprises ( e.g. , Fannie Mae and Freddie Mac ) . The total cost of this bill was projected at $152 billion for 2008 .",the stimulus package proposed by the bush administration in early 2008 relied upon,"tax rebates to low - and middle - income U.S. taxpayers , tax incentives to stimulate business investment , and an increase in the limits imposed on mortgages eligible for purchase by government - sponsored enterprises",Economic Stimulus Act,Tax rebates and incentives.
"In regulatory jurisdictions that provide for this ( a list including most or all developed countries with free market economies ) consumer protection is a group of laws and organizations designed to ensure the rights of consumers , as well as fair trade , competition , and accurate information in the marketplace . The laws are designed to prevent the businesses that engage in fraud or specified unfair practices from gaining an advantage over competitors . They may also provide additional protection for those most vulnerable in society . Consumer protection laws are a form of government regulation that aim to protect the rights of consumers . For example , a government may require businesses to disclose detailed information about products -- particularly in areas where safety or public health is an issue , such as food .",purpose of consumer legislation in relation to retail,"to ensure the rights of consumers , as well as fair trade , competition , and accurate information in the marketplace",Protection of consumer rights.,To prevent unfair practices and protect consumers.
"Milky Chance Background information Origin Kassel , Germany Genres Alternative rock electronic reggae folk Indie Years active 2012 -- present Labels Muggelig Records Lichtdicht Ignition Records Website milkychanceofficial.com Members Clemens Rehbein Philipp Dausch Antonio Greger since 2015 Sebastian Schmidt since 2017",what type of music does milky chance sing,Alternative rock electronic reggae folk Indie,Indie folk-pop,"Alternative rock, electronic, reggae, folk, indie."
